# Forestdale Creek (1049)
# California  SNOTEL Site - 8017 ft
# Daily Data for Period of Record
#
# (As of: Sun Jun 21 08:33:27 PDT 2015)
#  **Provisional data, subject to revision**
#
Date,Snow Water Equivalent (in),Precipitation Accumulation (in),Air Temperature Maximum (degF),Air Temperature Minimum (degF),Air Temperature Average (degF),Precipitation Increment (in)
2003-09-20,1.0,2.0,,,,
2003-09-21,31.0,0.0,75,45,58,0.00
2003-09-22,31.0,0.0,77,47,60,0.00
2003-09-23,31.0,0.0,77,48,60,0.00
2003-09-24,30.9,0.0,76,49,60,0.00
2003-09-25,30.9,0.0,75,49,59,0.00
2003-09-26,31.0,0.0,75,46,58,0.00
2003-09-27,31.0,0.0,78,48,60,0.00
2003-09-28,31.0,0.0,76,50,61,0.00
2003-09-29,30.9,0.0,67,53,59,0.00
2003-09-30,31.0,0.0,69,48,59,46.80
2003-10-01,0.0,0.0,64,42,54,0.00
2003-10-02,0.0,0.0,62,40,49,0.00
2003-10-03,0.0,0.0,64,39,50,0.00
2003-10-04,0.0,0.0,64,45,53,0.00
2003-10-05,0.0,0.0,67,41,52,0.00
2003-10-06,0.0,0.0,67,42,53,0.00
2003-10-07,0.0,0.0,67,47,56,0.00
2003-10-08,0.0,0.0,68,49,57,0.00
2003-10-09,0.0,0.0,63,46,54,0.00
2003-10-10,0.0,0.0,54,29,40,0.00
2003-10-11,0.0,0.0,64,32,51,0.00
2003-10-12,0.0,0.0,64,36,51,0.00
2003-10-13,0.0,0.0,66,32,47,0.00
2003-10-14,0.0,0.0,63,48,53,0.00
2003-10-15,0.0,0.0,60,42,51,0.00
2003-10-16,0.0,0.0,65,40,51,0.00
2003-10-17,0.0,0.0,70,45,55,0.00
2003-10-18,0.0,0.0,64,48,54,0.00
2003-10-19,0.0,0.0,65,47,55,0.00
2003-10-20,0.0,0.0,69,47,57,0.00
2003-10-21,0.0,0.0,72,45,56,0.00
2003-10-22,0.0,0.0,67,49,57,0.00
2003-10-23,0.0,0.0,60,37,51,0.00
2003-10-24,0.0,0.0,68,35,48,0.00
2003-10-25,0.0,0.0,60,37,46,0.00
2003-10-26,0.0,0.0,61,38,48,0.00
2003-10-27,0.0,0.0,66,40,50,0.00
2003-10-28,0.0,0.0,72,44,56,0.00
2003-10-29,0.0,0.0,55,36,48,0.00
2003-10-30,0.0,0.0,38,20,28,0.60
2003-10-31,0.3,0.6,28,21,24,0.40
2003-11-01,1.0,1.0,32,13,21,0.40
2003-11-02,1.1,1.4,31,13,23,0.10
2003-11-03,1.2,1.5,32,11,22,0.80
2003-11-04,1.6,2.3,39,10,26,0.00
2003-11-05,1.6,2.3,38,20,28,0.00
2003-11-06,1.6,2.3,44,19,30,0.00
2003-11-07,1.6,2.3,38,30,33,0.10
2003-11-08,1.6,2.4,38,31,34,0.40
2003-11-09,2.1,2.8,33,24,29,1.80
2003-11-10,3.5,4.6,40,20,27,0.00
2003-11-11,3.5,4.6,43,17,28,0.00
2003-11-12,3.5,4.6,39,23,29,0.00
2003-11-13,3.5,4.6,39,26,31,0.00
2003-11-14,3.5,4.6,41,28,33,0.30
2003-11-15,3.7,4.9,32,22,29,0.20
2003-11-16,4.0,5.1,38,20,30,0.00
2003-11-17,3.8,5.1,47,31,37,0.10
2003-11-18,3.8,5.2,58,31,42,0.00
2003-11-19,3.8,5.2,50,40,44,0.00
2003-11-20,3.8,5.2,45,32,39,0.20
2003-11-21,3.8,5.4,33,13,24,0.00
2003-11-22,3.8,5.4,30,6,17,0.00
2003-11-23,3.8,5.4,47,16,32,0.00
2003-11-24,3.8,5.4,42,29,34,0.00
2003-11-25,3.8,5.4,39,22,29,0.00
2003-11-26,3.8,5.4,42,19,29,0.00
2003-11-27,3.7,5.4,52,18,37,0.00
2003-11-28,3.7,5.4,49,35,42,0.00
2003-11-29,3.7,5.4,49,40,44,0.00
2003-11-30,3.7,5.4,44,32,38,0.00
2003-12-01,3.9,5.4,39,31,34,0.30
2003-12-02,4.1,5.7,47,25,35,0.10
2003-12-03,4.1,5.8,53,30,38,0.00
2003-12-04,4.1,5.8,48,30,40,0.00
2003-12-05,4.1,5.8,44,36,40,1.00
2003-12-06,4.2,6.8,39,33,35,1.70
2003-12-07,6.1,8.5,34,20,28,0.80
2003-12-08,6.8,9.3,38,10,19,0.90
2003-12-09,6.9,10.2,34,16,27,0.20
2003-12-10,7.3,10.4,28,24,26,1.10
2003-12-11,8.7,11.5,31,13,21,0.70
2003-12-12,9.3,12.2,36,20,30,0.00
2003-12-13,9.3,12.2,34,29,32,0.40
2003-12-14,9.6,12.6,31,10,24,1.20
