# Horse Meadow (1050)
# California  SNOTEL Site - 8557 ft
# Daily Data for Period of Record
#
# (As of: Sun Jun 21 08:33:53 PDT 2015)
#  **Provisional data, subject to revision**
#
Date,Snow Water Equivalent (in),Precipitation Accumulation (in),Air Temperature Maximum (degF),Air Temperature Minimum (degF),Air Temperature Average (degF),Precipitation Increment (in)
2003-09-21,18.7,41.2,263,5495,33,
2003-09-22,18.9,0.0,72,49,58,0.00
2003-09-23,18.9,0.0,71,51,60,0.00
2003-09-24,18.8,0.0,70,51,60,0.00
2003-09-25,18.8,0.0,69,53,60,0.00
2003-09-26,18.8,0.0,68,52,59,0.00
2003-09-27,18.9,0.0,73,51,60,0.00
2003-09-28,18.8,0.0,74,51,59,0.00
2003-09-29,18.8,0.0,63,47,54,0.00
2003-09-30,18.9,0.0,66,47,55,41.30
2003-10-01,0.0,0.0,63,44,51,0.00
2003-10-02,0.0,0.0,60,42,49,0.10
2003-10-03,0.0,0.1,59,42,49,0.00
2003-10-04,0.0,0.1,62,43,50,0.00
2003-10-05,0.0,0.1,59,41,49,0.00
2003-10-06,0.0,0.1,64,44,52,0.00
2003-10-07,0.0,0.1,64,45,52,0.00
2003-10-08,0.0,0.1,64,46,54,0.00
2003-10-09,0.0,0.1,61,39,51,0.00
2003-10-10,0.0,0.1,50,29,39,0.00
2003-10-11,0.0,0.1,62,40,49,0.00
2003-10-12,0.0,0.1,60,37,49,0.00
2003-10-13,0.0,0.1,60,32,46,0.00
2003-10-14,0.0,0.1,58,42,49,0.00
2003-10-15,0.0,0.1,57,40,47,0.00
2003-10-16,0.0,0.1,62,41,50,0.00
2003-10-17,0.0,0.1,66,46,53,0.00
2003-10-18,0.0,0.1,62,44,50,0.00
2003-10-19,0.0,0.1,62,43,52,0.00
2003-10-20,0.0,0.1,68,46,54,0.00
2003-10-21,0.0,0.1,70,48,56,0.00
2003-10-22,0.0,0.1,65,46,53,0.00
2003-10-23,0.0,0.1,56,37,48,0.00
2003-10-24,0.0,0.1,65,38,49,0.00
