# Burnside Lake (1051)
# California  SNOTEL Site - 8129 ft
# Daily Data for Period of Record
#
# (As of: Sun Jun 21 08:32:15 PDT 2015)
#  **Provisional data, subject to revision**
#
Date,Snow Water Equivalent (in),Precipitation Accumulation (in),Air Temperature Maximum (degF),Air Temperature Minimum (degF),Air Temperature Average (degF),Precipitation Increment (in)
2003-09-21,1.2,1.0,70,38,58,
2003-09-22,36.4,0.0,72,33,52,0.00
2003-09-23,36.4,0.0,73,35,54,0.00
2003-09-24,36.4,0.0,72,36,54,0.00
2003-09-25,36.4,0.0,71,35,52,0.00
2003-09-26,36.4,0.0,71,31,50,0.00
2003-09-27,36.5,0.0,74,32,53,0.00
2003-09-28,36.5,0.0,73,36,56,0.00
2003-09-29,36.3,0.0,64,42,55,0.00
2003-09-30,36.5,0.0,65,36,54,29.70
2003-10-01,0.0,0.0,62,34,50,0.00
2003-10-02,0.0,0.0,62,30,47,0.00
2003-10-03,0.0,0.0,60,31,45,0.00
2003-10-04,0.0,0.0,61,38,51,0.00
2003-10-05,0.0,0.0,62,35,48,0.00
2003-10-06,0.0,0.0,66,31,48,0.00
2003-10-07,0.0,0.0,65,37,53,0.00
2003-10-08,0.0,0.0,66,47,56,0.00
2003-10-09,0.0,0.0,60,40,52,0.00
2003-10-10,0.0,0.0,48,25,36,0.00
2003-10-11,0.0,0.0,62,24,46,0.00
2003-10-12,0.0,0.0,62,28,48,0.00
2003-10-13,0.0,0.0,57,22,38,0.00
2003-10-14,0.0,0.0,61,31,49,0.00
2003-10-15,0.0,0.0,58,38,49,0.00
2003-10-16,0.0,0.0,63,31,47,0.00
2003-10-17,0.0,0.0,68,31,48,0.00
2003-10-18,0.0,0.0,63,37,51,0.00
2003-10-19,0.0,0.0,64,32,51,0.00
2003-10-20,0.0,0.0,68,34,53,0.00
2003-10-21,0.0,0.0,69,30,49,0.00
2003-10-22,0.0,0.0,64,35,52,0.00
2003-10-23,0.0,0.0,58,27,47,0.00
2003-10-24,0.0,0.0,62,23,39,0.00
2003-10-25,0.0,0.0,55,26,39,0.00
2003-10-26,0.0,0.0,59,27,42,0.00
2003-10-27,0.0,0.0,62,26,44,0.00
2003-10-28,0.0,0.0,65,31,49,0.00
2003-10-29,0.0,0.0,55,35,47,0.00
2003-10-30,0.0,0.0,35,15,27,0.00
2003-10-31,0.0,0.0,25,15,22,0.90
2003-11-01,0.9,0.9,30,2,18,0.20
2003-11-02,1.1,1.1,30,2,20,0.00
2003-11-03,1.2,1.1,32,-1,20,0.50
2003-11-04,1.6,1.6,37,-3,22,0.10
2003-11-05,1.7,1.7,37,10,25,0.00
2003-11-06,1.7,1.7,44,6,25,0.00
2003-11-07,1.7,1.7,38,25,33,0.00
2003-11-08,1.7,1.7,38,30,33,0.40
2003-11-09,1.8,2.1,33,17,29,2.00
2003-11-10,3.4,4.1,37,7,21,0.10
2003-11-11,3.4,4.2,43,4,22,0.00
2003-11-12,3.4,4.2,34,16,28,0.00
2003-11-13,3.4,4.2,37,20,30,0.00
2003-11-14,3.4,4.2,41,24,32,0.00
2003-11-15,3.4,4.2,32,18,28,0.20
2003-11-16,3.4,4.4,38,11,28,0.00
2003-11-17,3.4,4.4,46,20,34,0.00
2003-11-18,3.4,4.4,58,17,35,0.00
2003-11-19,3.4,4.4,50,32,43,0.00
2003-11-20,3.4,4.4,45,32,39,0.10
2003-11-21,3.4,4.5,32,12,24,0.00
2003-11-22,3.4,4.5,30,0,12,0.00
