# Adin Mtn (301)
# California  SNOTEL Site - 6190 ft
# Daily Data for Period of Record
#
# (As of: Sun Jun 21 08:31:59 PDT 2015)
#  **Provisional data, subject to revision**
#
Date,Snow Water Equivalent (in),Precipitation Accumulation (in),Air Temperature Maximum (degF),Air Temperature Minimum (degF),Air Temperature Average (degF),Precipitation Increment (in)
1984-09-17,,,32,32,32,
1984-09-18,,,,,,
1984-09-19,,,,,,
1984-09-20,,,,,,
1984-09-21,,,,,,
1984-09-22,,,,,,
1984-09-23,,,,,,
1984-09-24,,,,,,
1984-09-25,,,,,,
1984-09-26,,,,,,
1984-09-27,,,,,,
1984-09-28,,,,,,
1984-09-29,,,,,,
1984-09-30,,,,,,
1984-10-01,0.0,0.0,,,,0.00
1984-10-02,0.0,0.0,,,,0.00
1984-10-03,0.0,0.0,,,,0.00
1984-10-04,0.0,0.0,,,,0.00
1984-10-05,0.0,0.0,,,,0.00
1984-10-06,0.0,0.0,,,,0.00
1984-10-07,0.0,0.0,,,,0.00
1984-10-08,0.0,0.0,,,,0.00
1984-10-09,0.0,0.0,,,,0.00
1984-10-10,0.0,0.0,,,,0.80
1984-10-11,0.0,0.8,,,,0.80
1984-10-12,0.0,1.6,,,,0.50
1984-10-13,0.0,2.1,,,,0.00
1984-10-14,0.0,2.1,,,,0.10
1984-10-15,0.2,2.2,,,,0.10
1984-10-16,0.2,2.3,,,,0.50
1984-10-17,0.9,2.8,,,,0.10
1984-10-18,1.0,2.9,,,,0.30
1984-10-19,1.0,3.2,,,,0.60
1984-10-20,1.3,3.8,,,,0.00
1984-10-21,1.3,3.8,,,,0.10
1984-10-22,1.0,3.9,,,,0.00
1984-10-23,0.9,3.9,,,,0.00
1984-10-24,0.7,3.9,,,,0.00
1984-10-25,0.3,3.9,,,,0.00
1984-10-26,0.0,3.9,,,,0.10
1984-10-27,0.0,4.0,,,,0.30
1984-10-28,0.0,4.3,,,,1.00
1984-10-29,1.0,5.3,,,,0.00
1984-10-30,1.0,5.3,,,,0.00
1984-10-31,0.7,5.3,,,,0.00
1984-11-01,0.6,5.3,,,,0.10
1984-11-02,0.2,5.4,,,,0.50
1984-11-03,0.2,5.9,,,,0.00
1984-11-04,0.0,5.9,,,,0.00
1984-11-05,0.0,5.9,,,,0.10
1984-11-06,0.5,6.0,,,,0.60
1984-11-07,1.0,6.6,,,,0.60
1984-11-08,1.3,7.2,,,,0.50
1984-11-09,1.8,7.7,,,,0.20
1984-11-10,2.1,7.9,,,,0.10
1984-11-11,2.2,8.0,,,,0.10
1984-11-12,2.2,8.1,,,,0.00
1984-11-13,2.3,8.1,,,,0.70
1984-11-14,3.4,8.8,,,,0.00
1984-11-15,3.4,8.8,,,,0.10
1984-11-16,3.4,8.9,,,,0.00
1984-11-17,3.4,8.9,,,,0.40
1984-11-18,3.6,9.3,,,,0.00
1984-11-19,3.6,9.3,,,,0.00
1984-11-20,3.6,9.3,,,,1.00
1984-11-21,4.8,10.3,,,,0.10
1984-11-22,5.4,10.4,,,,0.00
1984-11-23,5.4,10.4,,,,0.50
1984-11-24,6.0,10.9,,,,0.20
1984-11-25,6.1,11.1,,,,0.20
1984-11-26,6.1,11.3,,,,0.10
1984-11-27,6.2,11.4,,,,0.70
1984-11-28,6.9,12.1,,,,0.10
1984-11-29,7.0,12.2,,,,0.20
1984-11-30,7.2,12.4,,,,0.00
1984-12-01,7.2,12.4,,,,0.00
1984-12-02,7.2,12.4,,,,0.30
1984-12-03,7.5,12.7,,,,0.00
1984-12-04,7.5,12.7,,,,0.00
1984-12-05,7.5,12.7,,,,0.00
1984-12-06,7.5,12.7,,,,0.00
1984-12-07,7.5,12.7,,,,0.00
1984-12-08,7.5,12.7,,,,0.10
1984-12-09,7.5,12.8,,,,0.00
1984-12-10,7.7,12.8,,,,0.40
1984-12-11,8.1,13.2,,,,0.30
1984-12-12,8.4,13.5,,,,0.10
1984-12-13,8.6,13.6,,,,0.00
1984-12-14,8.6,13.6,,,,0.00
1984-12-15,8.6,13.6,,,,0.10
1984-12-16,8.8,13.7,,,,0.00
1984-12-17,8.8,13.7,,,,0.00
1984-12-18,8.8,13.7,,,,0.00
1984-12-19,8.8,13.7,,,,0.00
1984-12-20,8.8,13.7,,,,0.10
1984-12-21,8.8,13.8,,,,0.00
1984-12-22,8.8,13.8,,,,0.00
1984-12-23,8.8,13.8,,,,0.00
1984-12-24,8.9,13.8,,,,0.00
1984-12-25,8.9,13.8,,,,0.00
1984-12-26,8.9,13.8,,,,0.00
1984-12-27,8.9,13.8,,,,0.00
1984-12-28,8.9,13.8,,,,0.00
1984-12-29,8.9,13.8,,,,0.20
1984-12-30,9.1,14.0,,,,0.00
1984-12-31,9.1,14.0,,,,0.00
1985-01-01,9.1,14.0,,,,0.10
1985-01-02,9.1,14.1,,,,0.00
1985-01-03,9.1,14.1,,,,0.00
1985-01-04,9.1,14.1,,,,0.00
1985-01-05,9.1,14.1,,,,0.00
1985-01-06,9.1,14.1,,,,0.00
1985-01-07,9.1,14.1,,,,0.10
1985-01-08,9.4,14.2,,,,0.00
1985-01-09,9.4,14.2,,,,0.00
1985-01-10,9.4,14.2,,,,0.00
1985-01-11,9.4,14.2,,,,0.00
1985-01-12,9.4,14.2,,,,0.00
1985-01-13,9.4,14.2,,,,0.10
1985-01-14,9.4,14.3,,,,0.00
1985-01-15,9.4,14.3,,,,0.00
1985-01-16,9.5,14.3,,,,0.00
1985-01-17,9.5,14.3,,,,0.00
1985-01-18,9.6,14.3,,,,0.00
1985-01-19,9.7,14.3,,,,0.00
1985-01-20,9.7,14.3,,,,0.00
1985-01-21,9.7,14.3,,,,0.00
1985-01-22,9.7,14.3,,,,0.00
1985-01-23,9.7,14.3,,,,0.00
1985-01-24,9.7,14.3,,,,0.00
1985-01-25,9.7,14.3,,,,0.00
1985-01-26,9.7,14.3,,,,0.00
1985-01-27,9.7,14.3,,,,0.30
1985-01-28,9.7,14.6,,,,0.30
1985-01-29,10.0,14.9,,,,0.00
1985-01-30,10.0,14.9,,,,0.10
1985-01-31,10.0,15.0,,,,0.10
1985-02-01,10.1,15.1,,,,0.80
1985-02-02,10.7,15.9,,,,0.20
1985-02-03,11.1,16.1,,,,0.00
1985-02-04,11.2,16.1,,,,0.00
1985-02-05,11.2,16.1,,,,0.20
1985-02-06,11.4,16.3,,,,0.20
1985-02-07,11.4,16.5,,,,1.10
1985-02-08,12.7,17.6,,,,0.70
1985-02-09,13.5,18.3,,,,0.30
1985-02-10,13.9,18.6,,,,0.00
1985-02-11,14.0,18.6,,,,0.20
1985-02-12,14.4,18.8,,,,0.00
1985-02-13,14.5,18.8,,,,0.00
1985-02-14,14.6,18.8,,,,0.20
1985-02-15,14.7,19.0,,,,0.00
1985-02-16,14.7,19.0,,,,0.10
1985-02-17,14.9,19.1,,,,0.00
1985-02-18,15.0,19.1,,,,0.00
1985-02-19,15.0,19.1,,,,0.00
1985-02-20,15.1,19.1,,,,0.00
1985-02-21,15.1,19.1,,,,0.00
1985-02-22,15.1,19.1,,,,0.00
1985-02-23,15.0,19.1,,,,0.00
1985-02-24,14.9,19.1,,,,0.00
1985-02-25,14.9,19.1,,,,0.00
1985-02-26,14.9,19.1,,,,0.00
1985-02-27,14.9,19.1,,,,0.00
1985-02-28,14.9,19.1,,,,0.00
1985-03-01,14.9,19.1,,,,0.20
1985-03-02,15.3,19.3,,,,0.00
1985-03-03,15.5,19.3,,,,0.00
1985-03-04,15.6,19.3,,,,0.30
1985-03-05,16.1,19.6,,,,0.40
1985-03-06,16.3,20.0,,,,0.00
1985-03-07,16.5,20.0,,,,0.10
1985-03-08,16.8,20.1,,,,0.20
1985-03-09,16.8,20.3,,,,0.20
