# Blue Lakes (356)
# California  SNOTEL Site - 8057 ft
# Daily Data for Period of Record
#
# (As of: Sun Jun 21 08:32:10 PDT 2015)
#  **Provisional data, subject to revision**
#
Date,Snow Water Equivalent (in),Precipitation Accumulation (in),Air Temperature Maximum (degF),Air Temperature Minimum (degF),Air Temperature Average (degF),Precipitation Increment (in)
1980-07-10,0.0,61.3,32,32,32,0.00
1980-07-11,0.0,61.3,32,32,32,0.00
1980-07-12,0.0,61.3,32,32,32,0.00
1980-07-13,0.0,61.3,32,32,32,0.00
1980-07-14,0.0,61.3,32,32,32,0.00
1980-07-15,0.0,61.3,32,32,32,0.00
1980-07-16,0.0,61.3,32,32,32,0.00
1980-07-17,0.0,61.3,32,32,32,0.00
1980-07-18,0.0,61.3,32,32,32,0.00
1980-07-19,0.0,61.3,32,32,32,0.00
1980-07-20,0.0,61.3,32,32,32,0.00
1980-07-21,0.0,61.3,32,32,32,0.00
1980-07-22,0.0,61.3,32,32,32,0.00
1980-07-23,0.0,61.3,32,32,32,0.00
1980-07-24,0.0,61.3,32,32,32,0.00
1980-07-25,0.0,61.3,32,32,32,0.00
1980-07-26,0.0,61.3,32,32,32,0.00
1980-07-27,0.0,61.3,32,32,32,0.00
1980-07-28,0.0,61.3,32,32,32,0.00
1980-07-29,0.0,61.3,32,32,32,0.00
1980-07-30,0.0,61.3,32,32,32,0.00
1980-07-31,0.0,61.3,32,32,32,0.00
1980-08-01,0.0,61.3,32,32,32,0.00
1980-08-02,0.0,61.3,32,32,32,0.00
1980-08-03,0.0,61.3,32,32,32,0.00
1980-08-04,0.0,61.3,32,32,32,0.00
1980-08-05,0.0,61.3,32,32,32,0.00
1980-08-06,0.0,61.3,32,32,32,0.00
1980-08-07,0.0,61.3,32,32,32,0.00
1980-08-08,0.0,61.3,32,32,32,0.00
1980-08-09,0.0,61.3,32,32,32,0.00
1980-08-10,0.0,61.3,32,32,32,0.00
1980-08-11,0.0,61.3,32,32,32,0.00
1980-08-12,0.0,61.3,32,32,32,0.00
1980-08-13,0.0,61.3,32,32,32,0.00
1980-08-14,0.0,61.3,32,32,32,0.00
1980-08-15,0.0,61.3,32,32,32,0.00
1980-08-16,0.0,61.3,32,32,32,0.00
1980-08-17,0.0,61.3,32,32,32,0.00
1980-08-18,0.0,61.3,32,32,32,0.00
1980-08-19,0.0,61.3,32,32,32,0.00
1980-08-20,0.0,61.3,32,32,32,0.00
1980-08-21,0.0,61.3,32,32,32,0.00
1980-08-22,0.0,61.3,32,32,32,0.00
1980-08-23,0.0,61.3,32,32,32,0.00
1980-08-24,0.0,61.3,32,32,32,0.00
1980-08-25,0.0,61.3,32,32,32,0.00
1980-08-26,0.0,61.3,32,32,32,0.00
1980-08-27,0.0,61.3,32,32,32,0.00
1980-08-28,0.0,61.3,,,,
1980-08-29,,,32,32,32,
1980-08-30,0.0,61.3,,,,
1980-08-31,,,32,32,32,
1980-09-01,0.0,61.3,32,32,32,0.00
1980-09-02,0.0,61.3,32,32,32,0.00
1980-09-03,0.0,61.3,32,32,32,0.10
1980-09-04,0.0,61.4,32,32,32,0.10
1980-09-05,0.0,61.5,32,32,32,
1980-09-06,0.0,61.4,32,32,32,0.00
1980-09-07,0.0,61.4,32,32,32,0.40
1980-09-08,0.1,61.8,32,32,32,0.00
1980-09-09,0.0,61.8,32,32,32,0.40
1980-09-10,0.0,62.2,32,32,32,0.00
1980-09-11,0.0,62.2,32,32,32,
1980-09-12,0.0,61.9,32,32,32,
1980-09-13,0.0,61.8,32,32,32,0.00
1980-09-14,0.0,61.8,32,32,32,0.00
1980-09-15,0.0,61.8,32,32,32,0.40
1980-09-16,0.0,62.2,32,32,32,
1980-09-17,0.0,61.9,32,32,32,
1980-09-18,0.1,61.8,32,32,32,0.40
1980-09-19,0.1,62.2,32,32,32,0.00
1980-09-20,0.1,62.2,32,32,32,0.00
1980-09-21,0.1,62.2,32,32,32,0.00
1980-09-22,0.1,62.2,32,32,32,0.00
1980-09-23,0.1,62.2,32,32,32,
1980-09-24,0.1,62.1,32,32,32,
1980-09-25,0.1,61.9,32,32,32,
1980-09-26,0.0,61.8,32,32,32,0.00
1980-09-27,0.0,61.8,32,32,32,0.00
1980-09-28,0.0,61.8,32,32,32,0.00
1980-09-29,0.0,61.8,32,32,32,0.00
1980-09-30,0.0,61.8,32,32,32,0.00
1980-10-01,0.0,0.0,32,32,32,0.00
1980-10-02,0.0,0.0,32,32,32,0.00
1980-10-03,0.0,0.0,32,32,32,0.00
1980-10-04,0.0,0.0,32,32,32,0.00
1980-10-05,0.0,0.0,32,32,32,0.00
1980-10-06,0.0,0.0,32,32,32,0.00
1980-10-07,0.0,0.0,32,32,32,0.00
1980-10-08,0.0,0.0,32,32,32,0.10
1980-10-09,0.0,0.1,32,32,32,0.00
1980-10-10,0.0,0.1,32,32,32,0.00
1980-10-11,0.0,0.1,32,32,32,0.60
1980-10-12,0.1,0.7,32,32,32,0.20
1980-10-13,0.2,0.9,32,32,32,0.00
1980-10-14,0.2,0.9,32,32,32,0.30
1980-10-15,0.2,1.2,32,32,32,0.00
1980-10-16,0.2,1.2,32,32,32,0.00
1980-10-17,0.3,1.2,32,32,32,0.00
1980-10-18,0.3,1.2,32,32,32,0.00
1980-10-19,0.3,1.2,32,32,32,0.00
1980-10-20,0.3,1.2,32,32,32,0.00
1980-10-21,0.3,1.2,32,32,32,0.00
1980-10-22,0.3,1.2,32,32,32,0.10
1980-10-23,0.3,1.3,32,32,32,0.00
1980-10-24,0.3,1.3,32,32,32,0.00
1980-10-25,0.3,1.3,32,32,32,0.00
1980-10-26,0.3,1.3,32,32,32,0.00
1980-10-27,0.3,1.3,32,32,32,0.00
1980-10-28,0.2,1.3,32,32,32,0.00
1980-10-29,0.2,1.3,32,32,32,0.00
1980-10-30,0.2,1.3,32,32,32,0.00
1980-10-31,0.1,1.3,32,32,32,0.00
1980-11-01,0.1,1.3,32,32,32,0.00
1980-11-02,0.1,1.3,32,32,32,0.00
1980-11-03,0.1,1.3,32,32,32,0.00
1980-11-04,0.1,1.3,32,32,32,0.00
1980-11-05,0.1,1.3,32,32,32,0.00
1980-11-06,0.1,1.3,32,32,32,0.00
1980-11-07,0.1,1.3,32,32,32,0.10
1980-11-08,0.1,1.4,32,32,32,0.20
1980-11-09,0.1,1.6,32,32,32,0.10
1980-11-10,0.1,1.7,32,32,32,0.40
1980-11-11,0.3,2.1,32,32,32,0.70
1980-11-12,0.7,2.8,32,32,32,0.00
1980-11-13,0.7,2.8,32,32,32,0.00
1980-11-14,0.8,2.8,32,32,32,0.00
1980-11-15,0.8,2.8,32,32,32,0.00
1980-11-16,0.8,2.8,32,32,32,0.00
1980-11-17,0.8,2.8,32,32,32,0.00
1980-11-18,0.8,2.8,32,32,32,0.00
1980-11-19,0.8,2.8,32,32,32,0.10
1980-11-20,0.6,2.9,32,32,32,0.00
1980-11-21,0.6,2.9,32,32,32,0.00
1980-11-22,0.6,2.9,32,32,32,0.00
1980-11-23,0.6,2.9,32,32,32,0.00
1980-11-24,0.6,2.9,32,32,32,0.00
1980-11-25,0.6,2.9,32,32,32,0.00
1980-11-26,0.6,2.9,,,,0.00
1980-11-27,0.6,2.9,32,32,32,0.00
1980-11-28,0.6,2.9,32,32,32,0.00
1980-11-29,0.7,2.9,32,32,32,0.00
1980-11-30,0.7,2.9,32,32,32,0.30
1980-12-01,0.9,3.2,32,32,32,0.10
1980-12-02,0.9,3.3,32,32,32,0.40
1980-12-03,1.2,3.7,32,32,32,2.40
1980-12-04,3.7,6.1,32,32,32,0.10
1980-12-05,4.0,6.2,32,32,32,0.00
1980-12-06,4.0,6.2,32,32,32,0.00
1980-12-07,4.0,6.2,32,32,32,0.00
1980-12-08,4.0,6.2,32,32,32,0.00
1980-12-09,4.0,6.2,32,32,32,0.00
1980-12-10,4.0,6.2,32,32,32,0.00
1980-12-11,4.0,6.2,32,32,32,0.00
1980-12-12,4.0,6.2,32,32,32,0.00
1980-12-13,4.0,6.2,32,32,32,0.00
1980-12-14,4.0,6.2,32,32,32,0.00
1980-12-15,4.0,6.2,32,32,32,0.00
1980-12-16,4.0,6.2,32,32,32,0.00
1980-12-17,4.0,6.2,32,32,32,0.00
1980-12-18,4.0,6.2,32,32,32,0.00
1980-12-19,4.0,6.2,32,32,32,0.00
1980-12-20,4.0,6.2,32,32,32,0.00
1980-12-21,4.0,6.2,32,32,32,0.30
1980-12-22,4.2,6.5,32,32,32,0.00
1980-12-23,4.2,6.5,32,32,32,0.00
1980-12-24,4.2,6.5,32,32,32,0.00
1980-12-25,4.2,6.5,32,32,32,0.00
1980-12-26,4.2,6.5,32,32,32,0.00
1980-12-27,4.2,6.5,32,32,32,0.00
1980-12-28,4.2,6.5,32,32,32,0.00
1980-12-29,4.2,6.5,32,32,32,0.00
1980-12-30,4.2,6.5,,,,0.00
1980-12-31,4.2,6.5,32,32,32,0.00
1981-01-01,4.3,6.5,32,32,32,0.00
1981-01-02,4.4,6.5,32,32,32,0.00
1981-01-03,4.4,6.5,32,32,32,0.70
1981-01-04,4.9,7.2,32,32,32,0.00
1981-01-05,4.9,7.2,32,32,32,0.00
1981-01-06,4.9,7.2,32,32,32,0.00
1981-01-07,4.9,7.2,32,32,32,0.00
