# Css Lab (428)
# California  SNOTEL Site - 6855 ft
# Daily Data for Period of Record
#
# (As of: Sun Jun 21 08:32:43 PDT 2015)
#  **Provisional data, subject to revision**
#
Date,Snow Water Equivalent (in),Precipitation Accumulation (in),Air Temperature Maximum (degF),Air Temperature Minimum (degF),Air Temperature Average (degF),Precipitation Increment (in)
1981-10-01,0.0,,,,,
1981-10-02,0.0,,,,,
1981-10-03,0.0,,,,,
1981-10-04,0.0,,,,,
1981-10-05,0.0,,,,,
1981-10-06,0.0,,,,,
1981-10-07,0.0,,,,,
1981-10-08,0.2,,,,,
1981-10-09,0.1,,,,,
1981-10-10,0.0,,,,,
1981-10-11,0.1,,,,,
1981-10-12,0.5,,,,,
1981-10-13,0.5,,,,,
1981-10-14,0.5,,,,,
1981-10-15,0.5,,,,,
1981-10-16,0.5,,,,,
1981-10-17,0.5,,,,,
1981-10-18,0.5,,,,,
1981-10-19,0.5,,,,,
1981-10-20,0.5,,,,,
1981-10-21,0.5,,,,,
1981-10-22,0.3,,,,,
1981-10-23,0.1,,,,,
1981-10-24,0.0,,,,,
1981-10-25,0.0,,,,,
1981-10-26,0.0,,,,,
1981-10-27,0.0,,,,,
1981-10-28,0.0,,,,,
1981-10-29,0.0,,,,,
1981-10-30,0.0,,,,,
1981-10-31,0.0,,,,,
1981-11-01,1.6,,,,,
1981-11-02,1.6,,,,,
1981-11-03,1.6,,,,,
1981-11-04,1.6,,,,,
1981-11-05,1.5,,,,,
1981-11-06,1.5,,,,,
1981-11-07,1.4,,,,,
1981-11-08,1.4,,,,,
1981-11-09,1.3,,,,,
1981-11-10,1.3,,,,,
1981-11-11,1.3,,,,,
1981-11-12,1.3,,,,,
1981-11-13,2.6,,,,,
1981-11-14,3.1,,,,,
1981-11-15,3.3,,,,,
1981-11-16,3.3,,,,,
1981-11-17,3.7,,,,,
1981-11-18,3.7,,,,,
1981-11-19,3.7,,,,,
1981-11-20,3.7,,,,,
1981-11-21,3.7,,,,,
1981-11-22,4.5,,,,,
1981-11-23,4.8,,,,,
1981-11-24,4.9,,,,,
1981-11-25,4.9,,,,,
1981-11-26,4.9,,,,,
1981-11-27,5.1,,,,,
1981-11-28,5.1,,,,,
1981-11-29,5.1,,,,,
1981-11-30,5.1,,,,,
1981-12-01,5.3,,,,,
1981-12-02,5.6,,,,,
1981-12-03,5.6,,,,,
1981-12-04,5.6,,,,,
