# Echo Peak (463)
# California  SNOTEL Site - 7670 ft
# Daily Data for Period of Record
#
# (As of: Sun Jun 21 08:33:08 PDT 2015)
#  **Provisional data, subject to revision**
#
Date,Snow Water Equivalent (in),Precipitation Accumulation (in),Air Temperature Maximum (degF),Air Temperature Minimum (degF),Air Temperature Average (degF),Precipitation Increment (in)
1979-09-18,0.0,0.0,,,,0.00
1979-09-19,0.0,0.0,,,,0.70
1979-09-20,0.0,0.7,,,,
1979-09-21,0.0,0.0,,,,
1979-09-22,0.0,,,,,
1979-09-23,0.0,0.0,,,,0.10
1979-09-24,0.0,0.1,,,,0.10
1979-09-25,0.0,0.2,,,,0.50
1979-09-26,0.0,0.7,,,,
1979-09-27,0.0,,,,,
1979-09-28,0.0,0.2,,,,
1979-09-29,0.0,0.0,,,,0.20
1979-09-30,0.0,0.2,,,,0.00
1979-10-01,0.0,0.0,,,,0.00
1979-10-02,0.0,0.0,,,,0.00
1979-10-03,0.0,0.0,,,,0.10
1979-10-04,0.0,0.1,,,,0.00
1979-10-05,0.0,0.1,,,,
1979-10-06,,,,,,
1979-10-07,,,,,,
1979-10-08,0.1,0.6,,,,
1979-10-09,,,,,,
1979-10-10,0.1,0.6,,,,0.00
1979-10-11,0.3,0.6,,,,0.00
1979-10-12,0.3,0.6,,,,0.00
1979-10-13,0.3,0.6,,,,0.00
1979-10-14,0.3,0.6,,,,0.00
1979-10-15,0.3,0.6,,,,0.00
1979-10-16,0.3,0.6,,,,0.50
1979-10-17,0.3,1.1,,,,0.00
1979-10-18,0.3,1.1,,,,
1979-10-19,0.9,,,,,
1979-10-20,2.2,6.9,,,,0.20
1979-10-21,2.8,7.1,,,,0.00
1979-10-22,2.8,7.1,,,,
1979-10-23,,,,,,
1979-10-24,2.6,7.3,,,,0.00
1979-10-25,2.2,7.3,,,,
1979-10-26,,,,,,
1979-10-27,,,,,,
1979-10-28,3.2,8.1,,,,
1979-10-29,,,,,,
1979-10-30,3.1,8.1,,,,0.00
1979-10-31,3.0,8.1,,,,0.00
1979-11-01,3.2,8.1,,,,0.00
1979-11-02,3.0,8.1,,,,
1979-11-03,,,,,,
1979-11-04,,,,,,
1979-11-05,,,,,,
1979-11-06,4.0,8.8,,,,0.00
1979-11-07,3.9,8.8,,,,0.00
1979-11-08,3.9,8.8,,,,0.00
1979-11-09,3.9,8.8,,,,
1979-11-10,,,,,,
1979-11-11,,,,,,
1979-11-12,3.9,8.8,,,,0.00
1979-11-13,3.9,8.8,,,,0.00
1979-11-14,3.8,8.8,,,,0.10
1979-11-15,3.8,8.9,,,,0.00
1979-11-16,3.8,8.9,,,,
1979-11-17,,,,,,
1979-11-18,,,,,,
1979-11-19,4.8,10.1,,,,
1979-11-20,,,,,,
1979-11-21,5.0,10.1,,,,0.20
1979-11-22,4.9,10.3,,,,
1979-11-23,,,,,,
1979-11-24,,,,,,
1979-11-25,5.9,13.9,,,,0.00
1979-11-26,7.7,13.9,,,,0.00
1979-11-27,7.7,13.9,,,,0.00
1979-11-28,7.8,13.9,,,,
1979-11-29,,,,,,
1979-11-30,7.7,13.9,,,,0.00
1979-12-01,7.7,13.9,,,,0.00
1979-12-02,7.6,13.9,,,,0.00
1979-12-03,7.6,13.9,,,,0.00
1979-12-04,7.5,13.9,,,,0.00
1979-12-05,7.6,13.9,,,,0.00
1979-12-06,7.6,13.9,,,,
1979-12-07,,,,,,
1979-12-08,,,,,,
1979-12-09,7.5,13.9,,,,0.00
1979-12-10,7.5,13.9,,,,0.00
1979-12-11,7.6,13.9,,,,0.00
1979-12-12,7.6,13.9,,,,0.00
1979-12-13,7.6,13.9,,,,0.00
1979-12-14,7.6,13.9,,,,0.00
1979-12-15,7.6,13.9,,,,
1979-12-16,,,,,,
1979-12-17,7.6,13.9,,,,0.00
1979-12-18,7.6,13.9,,,,0.00
1979-12-19,7.6,13.9,,,,0.00
1979-12-20,7.6,13.9,,,,
1979-12-21,,,,,,
1979-12-22,,,,,,
1979-12-23,,,,,,
1979-12-24,,,,,,
1979-12-25,11.5,18.4,,,,
1979-12-26,,,,,,
1979-12-27,12.2,22.3,,,,
1979-12-28,,,,,,
1979-12-29,,,,,,
1979-12-30,12.8,22.9,,,,
1979-12-31,,,,,,
1980-01-01,,,,,,
1980-01-02,,,,,,
1980-01-03,,,,,,
1980-01-04,16.6,23.6,,,,3.30
1980-01-05,16.7,26.9,,,,
1980-01-06,,,,,,
1980-01-07,16.8,27.0,,,,
1980-01-08,,,,,,
1980-01-09,,,,,,
1980-01-10,20.6,28.5,,,,1.30
1980-01-11,22.0,29.8,,,,1.50
1980-01-12,24.3,31.3,,,,8.50
1980-01-13,29.3,39.8,,,,5.00
1980-01-14,30.5,44.8,,,,0.30
1980-01-15,30.0,45.1,,,,1.00
1980-01-16,30.0,46.1,,,,1.20
1980-01-17,30.8,47.3,,,,0.60
1980-01-18,31.6,47.9,,,,
1980-01-19,,,,,,
1980-01-20,,,,,,
1980-01-21,,,,,,
1980-01-22,,,,,,
1980-01-23,30.4,48.2,,,,0.00
1980-01-24,29.7,48.2,,,,0.00
1980-01-25,29.5,48.2,,,,
1980-01-26,,,,,,
1980-01-27,,,,,,
1980-01-28,27.3,48.2,,,,
1980-01-29,,,,,,
1980-01-30,26.8,48.6,,,,0.00
1980-01-31,26.8,48.6,,,,0.00
1980-02-01,26.1,48.6,,,,0.00
1980-02-02,25.9,48.6,,,,0.00
1980-02-03,25.3,48.6,,,,0.40
1980-02-04,24.3,49.0,,,,0.00
1980-02-05,24.2,49.0,,,,
1980-02-06,,,,,,
1980-02-07,,,,,,
1980-02-08,22.4,49.1,,,,0.00
1980-02-09,22.2,49.1,,,,0.00
1980-02-10,21.9,49.1,,,,0.00
1980-02-11,21.6,49.1,,,,0.10
1980-02-12,21.4,49.2,,,,0.00
1980-02-13,21.0,49.2,,,,0.00
1980-02-14,20.9,49.2,,,,0.80
1980-02-15,20.9,50.0,,,,
1980-02-16,,,,,,
1980-02-17,,,,,,
1980-02-18,,,,,,
1980-02-19,,,,,,
1980-02-20,,,,,,
1980-02-21,,,,,,
1980-02-22,,,,,,
1980-02-23,,,,,,
1980-02-24,,,,,,
1980-02-25,,,,,,
1980-02-26,,,,,,
1980-02-27,,,,,,
1980-02-28,,,,,,
1980-02-29,,,,,,
1980-03-01,,,,,,
1980-03-02,,,,,,
1980-03-03,,,,,,
1980-03-04,,,,,,
1980-03-05,,,,,,
1980-03-06,,,,,,
1980-03-07,,,,,,
1980-03-08,,,,,,
1980-03-09,,,,,,
1980-03-10,,,,,,
1980-03-11,,,,,,
1980-03-12,,,,,,
1980-03-13,,,,,,
1980-03-14,,,,,,
1980-03-15,,,,,,
1980-03-16,,,,,,
1980-03-17,,,,,,
1980-03-18,,,,,,
1980-03-19,,,,,,
1980-03-20,,,,,,
1980-03-21,,,,,,
1980-03-22,,,,,,
1980-03-23,,,,,,
1980-03-24,,,,,,
1980-03-25,,,,,,
1980-03-26,,,,,,
1980-03-27,,,,,,
1980-03-28,,,,,,
1980-03-29,,,,,,
1980-03-30,,,,,,
1980-03-31,,,,,,
1980-04-01,,,,,,
1980-04-02,,,,,,
1980-04-03,,,,,,
1980-04-04,,,,,,
1980-04-05,,,,,,
1980-04-06,,,,,,
1980-04-07,,,,,,
1980-04-08,,,,,,
1980-04-09,,,,,,
1980-04-10,,,,,,
1980-04-11,,,,,,
1980-04-12,,,,,,
1980-04-13,,,,,,
1980-04-14,,,,,,
1980-04-15,,,,,,
1980-04-16,,,,,,
1980-04-17,,,,,,
1980-04-18,,,,,,
1980-04-19,,,,,,
1980-04-20,,,,,,
1980-04-21,,,,,,
1980-04-22,,,,,,
1980-04-23,,,,,,
1980-04-24,,,,,,
1980-04-25,,,,,,
1980-04-26,,,,,,
1980-04-27,,,,,,
1980-04-28,,,,,,
1980-04-29,,,,,,
1980-04-30,,,,,,
1980-05-01,,,,,,
1980-05-02,,,,,,
1980-05-03,,,,,,
1980-05-04,,,,,,
1980-05-05,,,,,,
1980-05-06,,,,,,
1980-05-07,,,,,,
1980-05-08,,,,,,
1980-05-09,,,,,,
1980-05-10,,,,,,
1980-05-11,,,,,,
1980-05-12,,,,,,
1980-05-13,,,,,,
1980-05-14,,,,,,
1980-05-15,,,,,,
1980-05-16,,,,,,
1980-05-17,,,,,,
1980-05-18,,,,,,
1980-05-19,,,,,,
1980-05-20,,,,,,
1980-05-21,,,,,,
1980-05-22,,,,,,
1980-05-23,,,,,,
1980-05-24,,,,,,
1980-05-25,,,,,,
1980-05-26,,,,,,
1980-05-27,,,,,,
1980-05-28,,,,,,
1980-05-29,,,,,,
1980-05-30,,,,,,
1980-05-31,,,,,,
1980-06-01,,,,,,
1980-06-02,,,,,,
1980-06-03,,,,,,
1980-06-04,,,,,,
1980-06-05,,,,,,
1980-06-06,,,,,,
1980-06-07,,,,,,
1980-06-08,,,,,,
1980-06-09,,,,,,
1980-06-10,,,,,,
1980-06-11,,,,,,
1980-06-12,,,,,,
1980-06-13,,,,,,
1980-06-14,,,,,,
1980-06-15,,,,,,
1980-06-16,,,,,,
1980-06-17,,,,,,
1980-06-18,,,,,,
1980-06-19,,,,,,
1980-06-20,,,,,,
1980-06-21,,,,,,
1980-06-22,,,,,,
1980-06-23,,,,,,
1980-06-24,,,,,,
1980-06-25,1.0,65.0,,,,0.00
1980-06-26,0.0,65.0,,,,0.00
1980-06-27,0.0,65.0,,,,0.00
1980-06-28,0.0,65.0,,,,0.40
1980-06-29,0.0,65.4,,,,
1980-06-30,,,,,,
1980-07-01,0.0,65.4,,,,0.90
1980-07-02,0.0,66.3,,,,0.00
1980-07-03,0.0,66.3,,,,0.20
1980-07-04,0.0,66.5,,,,0.00
1980-07-05,0.0,66.5,,,,
1980-07-06,,,,,,
1980-07-07,,,,,,
1980-07-08,0.0,66.5,,,,0.00
1980-07-09,0.0,66.5,,,,0.00
1980-07-10,0.0,66.5,,,,0.00
1980-07-11,0.0,66.5,,,,0.00
1980-07-12,0.0,66.5,,,,
1980-07-13,,,,,,
1980-07-14,,,,,,
1980-07-15,0.0,66.5,,,,0.00
1980-07-16,0.0,66.5,,,,
1980-07-17,,,,,,
1980-07-18,0.0,66.5,,,,0.00
1980-07-19,0.0,66.5,,,,0.00
1980-07-20,0.0,66.5,,,,0.80
1980-07-21,0.0,67.3,,,,0.00
1980-07-22,0.0,67.3,,,,0.00
1980-07-23,0.0,67.3,,,,0.00
1980-07-24,0.0,67.3,,,,0.00
1980-07-25,0.0,67.3,,,,0.00
1980-07-26,0.0,67.3,,,,0.00
1980-07-27,0.0,67.3,,,,
1980-07-28,,,,,,
1980-07-29,0.0,67.3,,,,
1980-07-30,,,,,,
1980-07-31,,,,,,
1980-08-01,,,,,,
1980-08-02,0.0,67.3,,,,0.00
1980-08-03,0.0,67.3,,,,0.00
1980-08-04,0.0,67.3,,,,0.00
1980-08-05,0.0,67.3,,,,0.00
1980-08-06,0.0,67.3,,,,0.00
1980-08-07,0.0,67.3,,,,0.00
1980-08-08,0.0,67.3,,,,0.00
1980-08-09,0.0,67.3,,,,0.00
1980-08-10,0.0,67.3,,,,0.00
1980-08-11,0.0,67.3,,,,0.00
1980-08-12,0.0,67.3,,,,0.00
1980-08-13,0.0,67.3,,,,0.00
1980-08-14,0.0,67.3,,,,0.00
1980-08-15,0.0,67.3,,,,0.00
1980-08-16,0.0,67.3,,,,0.00
1980-08-17,0.0,67.3,,,,0.00
