# Independence Camp (539)
# California  SNOTEL Site - 7003 ft
# Daily Data for Period of Record
#
# (As of: Sun Jun 21 08:34:06 PDT 2015)
#  **Provisional data, subject to revision**
#
Date,Snow Water Equivalent (in),Precipitation Accumulation (in),Air Temperature Maximum (degF),Air Temperature Minimum (degF),Air Temperature Average (degF),Precipitation Increment (in)
1978-10-01,0.0,0.0,395,102,32,0.00
1978-10-02,0.0,0.0,402,103,32,0.00
1978-10-03,0.0,0.0,408,104,32,0.00
1978-10-04,0.0,0.0,415,105,32,0.00
1978-10-05,0.0,0.0,419,106,32,0.00
1978-10-06,0.0,0.0,426,107,32,0.00
1978-10-07,0.0,0.0,435,109,32,0.00
1978-10-08,0.0,0.0,439,110,32,0.00
1978-10-09,0.0,0.0,446,112,32,0.00
1978-10-10,0.0,0.0,456,114,32,0.00
1978-10-11,0.0,0.0,462,115,32,0.00
1978-10-12,0.0,0.0,469,116,32,0.00
1978-10-13,0.0,0.0,477,117,32,0.00
1978-10-14,0.0,0.0,495,122,32,0.00
1978-10-15,0.0,0.0,535,128,32,0.00
1978-10-16,0.0,0.0,543,130,32,0.00
1978-10-17,0.0,0.0,561,131,32,0.00
1978-10-18,0.0,0.0,581,132,32,0.00
1978-10-19,0.0,0.0,604,134,32,0.00
1978-10-20,0.0,0.0,627,137,32,0.00
1978-10-21,0.0,0.0,638,137,32,0.00
1978-10-22,0.0,0.0,657,139,32,0.00
1978-10-23,0.0,0.0,675,141,32,0.00
1978-10-24,0.0,0.0,692,142,32,0.00
1978-10-25,0.0,0.0,717,144,32,0.00
1978-10-26,0.0,0.0,732,145,32,0.00
1978-10-27,0.0,0.0,752,146,32,0.00
1978-10-28,0.0,0.0,764,147,32,0.00
1978-10-29,0.0,0.0,-692,147,32,0.10
1978-10-30,0.1,0.1,-683,149,32,0.00
1978-10-31,0.1,0.1,-671,150,32,0.40
1978-11-01,0.2,0.5,-651,151,32,0.00
1978-11-02,0.0,0.5,-636,151,32,0.00
1978-11-03,0.0,0.5,-617,152,32,0.00
1978-11-04,0.0,0.5,-606,152,32,0.00
1978-11-05,0.0,0.5,-605,153,32,0.00
1978-11-06,0.0,0.5,-587,154,32,0.00
1978-11-07,0.2,0.5,-577,155,32,0.00
1978-11-08,0.2,0.5,-556,155,32,0.00
1978-11-09,0.2,0.5,52,157,32,0.10
1978-11-10,0.2,0.6,64,158,32,0.50
1978-11-11,0.3,1.1,72,160,32,0.10
1978-11-12,0.3,1.2,83,161,32,0.00
1978-11-13,0.2,1.2,96,162,32,0.30
1978-11-14,0.4,1.5,99,162,32,0.10
1978-11-15,0.4,1.6,104,163,32,0.00
1978-11-16,0.4,1.6,121,165,32,0.00
1978-11-17,0.4,1.6,139,167,32,0.00
1978-11-18,0.4,1.6,148,168,32,0.00
1978-11-19,0.4,1.6,162,169,32,0.00
1978-11-20,0.4,1.6,175,171,32,0.20
1978-11-21,0.9,1.8,180,171,32,0.30
1978-11-22,1.0,2.1,197,173,32,0.10
1978-11-23,1.1,2.2,201,173,32,0.10
1978-11-24,1.0,2.3,206,174,32,0.00
1978-11-25,1.0,2.3,209,175,32,0.10
1978-11-26,1.1,2.4,213,175,32,0.00
1978-11-27,1.1,2.4,218,176,32,0.00
1978-11-28,1.0,2.4,224,177,32,0.00
1978-11-29,1.0,2.4,234,179,32,0.00
1978-11-30,1.0,2.4,242,180,32,0.20
1978-12-01,1.7,2.6,252,181,32,0.30
1978-12-02,1.9,2.9,257,182,32,0.00
1978-12-03,2.0,2.9,261,182,32,0.00
1978-12-04,1.9,2.9,280,183,32,0.00
1978-12-05,2.0,2.9,299,184,32,1.20
1978-12-06,2.2,4.1,305,186,32,0.00
1978-12-07,1.9,4.1,311,187,32,0.00
1978-12-08,1.9,4.1,338,190,32,0.00
1978-12-09,1.8,4.1,349,191,32,0.00
1978-12-10,1.8,4.1,357,193,32,0.00
1978-12-11,1.9,4.1,373,194,32,0.00
1978-12-12,1.8,4.1,397,195,32,0.00
1978-12-13,1.9,4.1,419,197,32,0.00
1978-12-14,1.9,4.1,438,199,32,0.00
1978-12-15,2.2,4.1,,,,0.00
1978-12-16,2.2,4.1,,,,0.00
1978-12-17,2.2,4.1,473,203,32,0.60
1978-12-18,2.8,4.7,478,204,32,0.10
1978-12-19,3.0,4.8,489,204,32,0.50
1978-12-20,3.2,5.3,495,206,32,0.00
1978-12-21,3.1,5.3,500,207,32,0.00
1978-12-22,3.1,5.3,510,208,32,0.00
1978-12-23,3.1,5.3,515,209,32,0.00
1978-12-24,3.1,5.3,516,209,32,0.00
1978-12-25,3.1,5.3,518,210,32,0.00
1978-12-26,3.2,5.3,518,210,32,0.00
1978-12-27,3.4,5.3,521,212,32,0.00
1978-12-28,3.4,5.3,534,213,32,0.00
1978-12-29,3.4,5.3,546,214,32,0.10
1978-12-30,3.5,5.4,553,215,32,0.00
1978-12-31,3.5,5.4,589,217,32,0.00
1979-01-01,3.5,5.4,598,218,32,0.00
1979-01-02,3.5,5.4,607,219,32,0.00
1979-01-03,3.4,5.4,618,220,32,0.00
1979-01-04,3.4,5.4,623,220,32,0.00
1979-01-05,3.4,5.4,630,222,32,0.00
1979-01-06,3.4,5.4,645,223,32,0.00
1979-01-07,3.5,5.4,657,224,32,0.00
1979-01-08,3.4,5.4,666,224,32,0.10
1979-01-09,3.6,5.5,679,225,32,0.00
1979-01-10,3.7,5.5,685,225,32,1.00
1979-01-11,4.0,6.5,695,226,32,2.50
1979-01-12,4.2,9.0,702,227,32,0.40
