# Leavitt Meadows (575)
# California  SNOTEL Site - 7198 ft
# Daily Data for Period of Record
#
# (As of: Sun Jun 21 08:34:51 PDT 2015)
#  **Provisional data, subject to revision**
#
Date,Snow Water Equivalent (in),Precipitation Accumulation (in),Air Temperature Maximum (degF),Air Temperature Minimum (degF),Air Temperature Average (degF),Precipitation Increment (in)
1980-07-10,9.0,40.4,,,,
1980-07-11,9.9,8.0,,,,32.40
1980-07-12,0.0,40.4,,,,0.00
1980-07-13,0.0,40.4,,,,0.00
1980-07-14,0.0,40.4,,,,0.00
1980-07-15,0.0,40.4,,,,0.00
1980-07-16,0.0,40.4,,,,0.00
1980-07-17,0.1,40.4,,,,0.00
1980-07-18,0.0,40.4,,,,0.00
1980-07-19,0.0,40.4,,,,0.00
1980-07-20,0.0,40.4,,,,0.00
1980-07-21,0.0,40.4,,,,0.00
1980-07-22,0.0,40.4,,,,0.00
1980-07-23,0.0,40.4,,,,0.00
1980-07-24,0.2,40.4,,,,0.00
1980-07-25,0.0,40.4,,,,0.00
1980-07-26,0.0,40.4,,,,0.00
1980-07-27,0.0,40.4,,,,0.00
1980-07-28,,40.4,,,,0.00
1980-07-29,0.0,40.4,,,,0.00
1980-07-30,0.0,40.4,,,,0.00
1980-07-31,0.0,40.4,,,,0.00
1980-08-01,0.0,40.4,,,,0.00
1980-08-02,0.0,40.4,,,,0.00
1980-08-03,0.0,40.4,,,,0.00
1980-08-04,0.0,40.4,,,,0.00
1980-08-05,0.0,40.4,,,,0.00
1980-08-06,0.0,40.4,,,,0.00
1980-08-07,0.0,40.4,,,,0.00
1980-08-08,0.0,40.4,,,,0.00
1980-08-09,0.0,40.4,,,,0.00
1980-08-10,0.1,40.4,,,,0.00
1980-08-11,0.0,40.4,,,,0.00
1980-08-12,0.0,40.4,,,,0.00
1980-08-13,,40.4,,,,0.00
1980-08-14,0.0,40.4,,,,0.40
1980-08-15,,40.8,,,,0.00
1980-08-16,,40.8,,,,0.00
1980-08-17,,40.8,,,,0.00
1980-08-18,0.0,40.8,,,,0.00
1980-08-19,,40.8,,,,0.00
1980-08-20,,40.8,,,,0.00
1980-08-21,,40.8,,,,0.00
1980-08-22,0.0,40.8,,,,0.00
1980-08-23,,40.8,,,,0.00
1980-08-24,,40.8,,,,0.20
1980-08-25,,41.0,,,,0.00
1980-08-26,,41.0,,,,0.00
1980-08-27,,41.0,,,,0.00
1980-08-28,,41.0,,,,0.00
1980-08-29,,41.0,,,,0.00
1980-08-30,,41.0,,,,0.00
1980-08-31,,41.0,,,,0.00
1980-09-01,0.0,41.0,,,,0.00
1980-09-02,0.0,41.0,,,,2.50
1980-09-03,,43.5,,,,
1980-09-04,,43.3,,,,0.00
1980-09-05,,43.3,,,,
1980-09-06,,42.6,,,,0.10
1980-09-07,,42.7,,,,1.30
1980-09-08,,44.0,,,,0.00
1980-09-09,,44.0,,,,
1980-09-10,,,,,,
1980-09-11,0.0,44.1,,,,
1980-09-12,0.0,43.9,,,,
1980-09-13,0.0,42.9,,,,0.80
1980-09-14,0.0,43.7,,,,
1980-09-15,0.0,42.0,,,,0.00
1980-09-16,0.0,42.0,,,,1.70
1980-09-17,0.0,43.7,,,,
1980-09-18,0.1,,,,,
1980-09-19,0.0,,,,,
1980-09-20,0.0,44.5,,,,0.20
1980-09-21,0.0,44.7,,,,
1980-09-22,0.0,44.6,,,,0.20
1980-09-23,0.0,44.8,,,,
1980-09-24,0.0,44.6,,,,
1980-09-25,0.0,44.4,,,,
1980-09-26,0.0,43.9,,,,
1980-09-27,0.0,43.8,,,,
1980-09-28,0.0,,,,,
1980-09-29,0.0,42.0,,,,0.00
1980-09-30,0.0,42.0,,,,0.00
1980-10-01,0.0,0.0,,,,0.00
1980-10-02,0.0,0.0,,,,0.00
1980-10-03,0.0,0.0,,,,0.00
1980-10-04,0.0,0.0,,,,0.00
1980-10-05,0.0,0.0,,,,0.00
1980-10-06,0.0,0.0,,,,0.00
1980-10-07,0.0,0.0,,,,0.00
1980-10-08,0.0,0.0,,,,0.00
1980-10-09,0.0,0.0,,,,0.00
1980-10-10,0.0,0.0,,,,0.00
1980-10-11,0.0,0.0,,,,0.00
1980-10-12,0.0,0.0,,,,0.50
1980-10-13,0.0,0.5,,,,0.30
1980-10-14,0.0,0.8,,,,0.00
1980-10-15,0.0,0.8,,,,0.00
1980-10-16,0.0,0.8,,,,0.70
1980-10-17,0.0,1.5,,,,0.00
1980-10-18,0.0,1.5,,,,0.00
1980-10-19,0.0,1.5,,,,0.00
1980-10-20,0.0,1.5,,,,0.00
1980-10-21,0.0,1.5,,,,0.00
1980-10-22,0.0,1.5,,,,0.00
1980-10-23,0.0,1.5,,,,0.00
1980-10-24,0.0,1.5,,,,0.00
1980-10-25,0.0,1.5,,,,0.00
1980-10-26,0.0,1.5,,,,0.00
1980-10-27,0.0,1.5,,,,0.00
1980-10-28,0.0,1.5,,,,0.00
1980-10-29,0.0,1.5,,,,0.00
1980-10-30,0.0,1.5,,,,0.00
1980-10-31,0.0,1.5,,,,0.00
1980-11-01,0.0,1.5,,,,0.00
1980-11-02,0.0,1.5,,,,0.00
1980-11-03,0.0,1.5,,,,0.00
1980-11-04,0.0,1.5,,,,0.00
1980-11-05,0.0,1.5,,,,0.00
1980-11-06,0.0,1.5,,,,0.00
1980-11-07,0.0,1.5,,,,0.00
1980-11-08,0.0,1.5,,,,0.00
1980-11-09,0.0,1.5,,,,0.00
1980-11-10,0.0,1.5,,,,0.00
1980-11-11,0.0,1.5,,,,1.10
1980-11-12,0.0,2.6,,,,0.10
1980-11-13,0.0,2.7,,,,0.20
1980-11-14,0.0,2.9,,,,0.00
1980-11-15,0.0,2.9,,,,0.10
1980-11-16,0.6,3.0,,,,0.00
1980-11-17,0.9,3.0,,,,0.00
1980-11-18,0.6,3.0,,,,0.00
1980-11-19,0.0,3.0,,,,0.00
1980-11-20,0.0,3.0,,,,0.00
1980-11-21,0.0,3.0,,,,0.00
1980-11-22,0.0,3.0,,,,0.00
1980-11-23,0.0,3.0,,,,0.00
1980-11-24,0.0,3.0,,,,0.00
1980-11-25,0.0,3.0,,,,0.00
1980-11-26,0.0,3.0,,,,0.00
1980-11-27,0.0,3.0,,,,0.00
1980-11-28,0.0,3.0,,,,0.00
1980-11-29,0.0,3.0,,,,0.00
1980-11-30,0.0,3.0,,,,0.00
1980-12-01,0.0,3.0,,,,0.00
1980-12-02,0.1,3.0,,,,0.00
1980-12-03,0.1,3.0,,,,0.00
1980-12-04,0.1,3.0,,,,2.80
1980-12-05,2.1,5.8,,,,0.10
1980-12-06,2.3,5.9,,,,0.00
1980-12-07,2.0,5.9,,,,0.00
1980-12-08,2.0,5.9,,,,0.00
1980-12-09,2.0,5.9,,,,0.00
1980-12-10,2.0,5.9,,,,0.00
1980-12-11,2.0,5.9,,,,0.00
1980-12-12,2.0,5.9,,,,0.00
1980-12-13,2.0,5.9,,,,0.00
1980-12-14,2.0,5.9,,,,0.00
1980-12-15,2.0,5.9,,,,0.00
1980-12-16,2.0,5.9,,,,0.00
1980-12-17,2.0,5.9,,,,0.00
1980-12-18,2.0,5.9,,,,0.00
1980-12-19,2.0,5.9,,,,0.00
1980-12-20,2.0,5.9,,,,0.00
1980-12-21,2.0,5.9,,,,0.10
1980-12-22,2.0,6.0,,,,0.00
1980-12-23,2.0,6.0,,,,0.10
1980-12-24,2.0,6.1,,,,0.00
1980-12-25,1.9,6.1,,,,0.00
1980-12-26,1.8,6.1,,,,0.00
1980-12-27,1.3,6.1,,,,0.00
1980-12-28,1.1,6.1,,,,0.00
1980-12-29,0.6,6.1,,,,0.00
1980-12-30,0.0,6.1,,,,0.00
1980-12-31,0.0,6.1,,,,0.00
1981-01-01,0.0,6.1,,,,0.10
1981-01-02,0.0,6.2,,,,0.00
1981-01-03,0.0,6.2,,,,0.00
1981-01-04,0.0,6.2,,,,0.00
1981-01-05,0.0,6.2,,,,0.00
1981-01-06,0.0,6.2,,,,0.00
1981-01-07,0.0,6.2,,,,0.00
1981-01-08,0.0,6.2,,,,0.00
1981-01-09,0.0,6.2,,,,0.00
1981-01-10,0.0,6.2,,,,0.00
1981-01-11,0.0,6.2,,,,0.10
1981-01-12,0.0,6.3,,,,0.00
1981-01-13,0.0,6.3,,,,0.00
1981-01-14,0.0,6.3,,,,0.00
1981-01-15,0.0,6.3,,,,0.00
1981-01-16,0.0,6.3,,,,0.00
1981-01-17,0.0,6.3,,,,0.00
1981-01-18,0.0,6.3,,,,0.00
1981-01-19,0.0,6.3,,,,0.00
1981-01-20,0.0,6.3,,,,0.00
1981-01-21,0.0,6.3,,,,0.00
1981-01-22,0.0,6.3,,,,0.00
1981-01-23,0.0,6.3,,,,0.30
1981-01-24,0.3,6.6,,,,0.10
1981-01-25,0.4,6.7,,,,0.00
1981-01-26,0.4,6.7,,,,0.40
1981-01-27,1.0,7.1,,,,1.40
1981-01-28,3.3,8.5,,,,1.10
1981-01-29,5.6,9.6,,,,2.20
1981-01-30,6.0,11.8,,,,0.30
