# Lobdell Lake (587)
# California  SNOTEL Site - 9233 ft
# Daily Data for Period of Record
#
# (As of: Sun Jun 21 08:35:02 PDT 2015)
#  **Provisional data, subject to revision**
#
Date,Snow Water Equivalent (in),Precipitation Accumulation (in),Air Temperature Maximum (degF),Air Temperature Minimum (degF),Air Temperature Average (degF),Precipitation Increment (in)
1978-10-01,0.0,0.0,,,,0.00
1978-10-02,0.0,0.0,,,,0.00
1978-10-03,0.0,0.0,,,,0.00
1978-10-04,0.0,0.0,,,,0.00
1978-10-05,0.0,0.0,,,,0.00
1978-10-06,0.0,0.0,,,,0.00
1978-10-07,0.0,0.0,,,,0.00
1978-10-08,0.0,0.0,,,,0.00
1978-10-09,0.0,0.0,,,,0.00
1978-10-10,0.0,0.0,,,,0.00
1978-10-11,0.0,0.0,,,,0.00
1978-10-12,0.0,0.0,,,,0.00
1978-10-13,0.0,0.0,,,,0.00
1978-10-14,0.0,0.0,,,,0.00
1978-10-15,0.0,0.0,,,,0.00
1978-10-16,0.0,0.0,,,,0.00
1978-10-17,0.0,0.0,,,,0.00
1978-10-18,0.0,0.0,,,,0.00
1978-10-19,0.0,0.0,,,,0.00
1978-10-20,0.0,0.0,,,,0.00
1978-10-21,0.0,0.0,,,,0.00
1978-10-22,0.0,0.0,,,,0.20
1978-10-23,0.0,0.2,,,,0.00
1978-10-24,0.0,0.2,,,,0.00
1978-10-25,0.0,0.2,,,,0.00
1978-10-26,0.0,0.2,,,,0.00
1978-10-27,0.0,0.2,,,,0.00
1978-10-28,0.0,0.2,,,,0.00
1978-10-29,0.0,0.2,,,,0.00
1978-10-30,0.1,0.2,,,,0.40
1978-10-31,0.6,0.6,,,,0.20
1978-11-01,0.7,0.8,,,,0.30
1978-11-02,0.9,1.1,,,,0.10
1978-11-03,1.0,1.2,,,,0.00
1978-11-04,1.0,1.2,,,,0.00
1978-11-05,1.0,1.2,,,,0.00
1978-11-06,1.0,1.2,,,,0.00
1978-11-07,1.0,1.2,,,,0.00
1978-11-08,1.2,1.2,,,,0.00
1978-11-09,1.1,1.2,,,,0.20
1978-11-10,1.3,1.4,,,,0.10
1978-11-11,1.2,1.5,,,,0.10
1978-11-12,1.2,1.6,,,,0.10
1978-11-13,1.2,1.7,,,,0.20
1978-11-14,1.3,1.9,,,,0.00
1978-11-15,1.4,1.9,,,,0.00
1978-11-16,1.4,1.9,,,,0.00
1978-11-17,1.4,1.9,,,,0.00
1978-11-18,1.4,1.9,,,,0.00
1978-11-19,1.3,1.9,,,,0.00
1978-11-20,1.4,1.9,,,,0.00
1978-11-21,1.8,1.9,,,,0.90
1978-11-22,2.0,2.8,,,,0.10
1978-11-23,2.1,2.9,,,,0.00
1978-11-24,2.1,2.9,,,,0.00
