# Poison Flat (697)
# California  SNOTEL Site - 7736 ft
# Daily Data for Period of Record
#
# (As of: Sun Jun 21 08:35:31 PDT 2015)
#  **Provisional data, subject to revision**
#
Date,Snow Water Equivalent (in),Precipitation Accumulation (in),Air Temperature Maximum (degF),Air Temperature Minimum (degF),Air Temperature Average (degF),Precipitation Increment (in)
1980-07-12,0.0,43.3,,,,0.00
1980-07-13,0.0,43.3,,,,0.00
1980-07-14,0.0,43.3,,,,0.00
1980-07-15,0.2,43.3,,,,0.00
1980-07-16,0.3,43.3,,,,0.00
1980-07-17,0.6,43.3,,,,0.00
1980-07-18,0.6,43.3,,,,0.00
1980-07-19,0.7,43.3,,,,0.00
1980-07-20,0.6,43.3,,,,0.00
1980-07-21,0.8,43.3,,,,0.00
1980-07-22,0.9,43.3,,,,0.00
1980-07-23,1.0,43.3,,,,0.00
1980-07-24,1.1,43.3,,,,0.00
1980-07-25,1.4,43.3,,,,0.00
1980-07-26,1.3,43.3,,,,0.00
1980-07-27,1.7,43.3,,,,0.30
1980-07-28,1.2,43.6,,,,0.00
1980-07-29,1.3,43.6,,,,0.00
1980-07-30,1.7,43.6,,,,0.00
1980-07-31,1.6,43.6,,,,0.00
1980-08-01,1.7,43.6,,,,0.00
1980-08-02,1.7,43.6,,,,0.00
1980-08-03,1.6,43.6,,,,0.00
1980-08-04,1.6,43.6,,,,0.00
1980-08-05,2.0,43.6,,,,0.00
1980-08-06,1.9,43.6,,,,0.00
1980-08-07,2.0,43.6,,,,0.00
1980-08-08,2.0,43.6,,,,
1980-08-09,,,,,,
1980-08-10,1.7,43.6,,,,0.00
1980-08-11,2.2,43.6,,,,0.00
1980-08-12,2.2,43.6,,,,0.00
1980-08-13,2.2,43.6,,,,0.00
1980-08-14,2.2,43.6,,,,0.00
1980-08-15,2.4,43.6,,,,0.00
1980-08-16,2.4,43.6,,,,0.00
1980-08-17,2.3,43.6,,,,0.00
1980-08-18,2.4,43.6,,,,0.00
1980-08-19,2.4,43.6,,,,0.00
1980-08-20,2.4,43.6,,,,0.00
1980-08-21,2.4,43.6,,,,0.10
1980-08-22,2.4,43.7,,,,
1980-08-23,,,,,,
1980-08-24,2.4,43.8,,,,0.10
1980-08-25,2.4,43.9,,,,0.30
1980-08-26,2.5,44.2,,,,0.00
1980-08-27,2.6,44.2,,,,0.00
1980-08-28,2.5,44.2,,,,0.00
1980-08-29,2.5,44.2,,,,
1980-08-30,,,,,,
1980-08-31,2.5,44.2,,,,
1980-09-01,,,,,,
1980-09-02,2.5,44.2,,,,
1980-09-03,2.5,38.1,,,,0.00
1980-09-04,2.5,38.1,,,,0.00
1980-09-05,2.5,38.1,,,,
1980-09-06,,,,,,
1980-09-07,,,,,,
1980-09-08,2.5,38.7,,,,0.10
1980-09-09,2.5,38.8,,,,0.10
1980-09-10,2.6,38.9,,,,0.00
1980-09-11,2.6,38.9,,,,0.00
1980-09-12,2.6,38.9,,,,0.00
1980-09-13,2.2,38.9,,,,0.10
1980-09-14,2.0,39.0,,,,5.80
1980-09-15,2.0,44.8,,,,0.10
1980-09-16,2.1,44.9,,,,
1980-09-17,2.0,39.1,,,,0.00
1980-09-18,0.0,39.1,,,,0.00
1980-09-19,0.0,39.1,,,,0.00
1980-09-20,0.0,39.1,,,,0.00
1980-09-21,0.0,39.1,,,,0.00
1980-09-22,0.0,39.1,,,,0.00
1980-09-23,0.0,39.1,,,,0.00
1980-09-24,0.0,39.1,,,,0.00
1980-09-25,0.0,39.1,,,,
1980-09-26,,37.7,,,,
1980-09-27,,,,,,
1980-09-28,0.0,37.8,,,,7.10
1980-09-29,,44.9,,,,0.00
1980-09-30,,44.9,,,,0.00
1980-10-01,0.0,0.0,,,,0.00
1980-10-02,0.0,0.0,,,,0.00
1980-10-03,0.0,0.0,,,,0.00
1980-10-04,0.0,0.0,,,,0.00
1980-10-05,0.0,0.0,,,,0.00
1980-10-06,0.0,0.0,,,,0.00
1980-10-07,0.0,0.0,,,,0.00
1980-10-08,0.0,0.0,,,,0.00
1980-10-09,0.0,0.0,,,,0.00
1980-10-10,0.0,0.0,,,,0.00
1980-10-11,0.0,0.0,,,,0.70
1980-10-12,0.3,0.7,,,,0.00
1980-10-13,0.3,0.7,,,,0.10
