# Spratt Creek (778)
# California  SNOTEL Site - 6115 ft
# Daily Data for Period of Record
#
# (As of: Sun Jun 21 08:36:07 PDT 2015)
#  **Provisional data, subject to revision**
#
Date,Snow Water Equivalent (in),Precipitation Accumulation (in),Air Temperature Maximum (degF),Air Temperature Minimum (degF),Air Temperature Average (degF),Precipitation Increment (in)
1980-08-15,0.0,0.0,,,,0.00
1980-08-16,0.0,0.0,,,,0.00
1980-08-17,0.0,0.0,,,,0.00
1980-08-18,0.0,0.0,,,,0.00
1980-08-19,,0.0,,,,0.00
1980-08-20,0.0,0.0,,,,0.00
1980-08-21,0.0,0.0,,,,0.00
1980-08-22,0.1,0.0,,,,0.00
1980-08-23,0.0,0.0,,,,0.00
1980-08-24,0.1,0.0,,,,0.00
1980-08-25,0.1,0.0,,,,0.00
1980-08-26,0.0,0.0,,,,0.00
1980-08-27,0.1,0.0,,,,0.00
1980-08-28,0.0,0.0,,,,0.00
1980-08-29,0.4,0.0,,,,0.00
1980-08-30,0.4,0.0,,,,0.00
1980-08-31,0.4,0.0,,,,0.00
1980-09-01,0.4,0.0,,,,0.00
1980-09-02,0.4,0.0,,,,0.00
1980-09-03,0.4,0.0,,,,0.00
1980-09-04,0.4,0.0,,,,0.00
1980-09-05,0.4,0.0,,,,0.00
1980-09-06,0.4,0.0,,,,0.00
1980-09-07,0.4,0.0,,,,0.30
1980-09-08,0.4,0.3,,,,0.00
1980-09-09,0.4,0.3,,,,0.00
1980-09-10,0.4,0.3,,,,0.10
1980-09-11,0.0,0.4,,,,0.00
1980-09-12,0.0,0.4,,,,0.00
1980-09-13,0.0,0.4,,,,0.00
1980-09-14,0.0,0.4,,,,0.00
1980-09-15,0.0,0.4,,,,0.00
1980-09-16,0.0,0.4,,,,0.10
1980-09-17,0.0,0.5,,,,0.00
1980-09-18,0.0,0.5,,,,0.00
1980-09-19,0.0,0.5,,,,
1980-09-20,0.0,0.4,,,,0.00
1980-09-21,0.0,0.4,,,,0.00
1980-09-22,0.0,0.4,,,,0.00
1980-09-23,0.0,0.4,,,,0.00
1980-09-24,0.0,0.4,,,,0.00
1980-09-25,0.0,0.4,,,,0.10
1980-09-26,0.0,0.5,,,,0.00
1980-09-27,0.0,0.5,,,,0.00
1980-09-28,0.0,0.5,,,,0.00
1980-09-29,0.0,0.5,,,,0.00
1980-09-30,0.0,0.5,,,,0.00
1980-10-01,0.0,0.0,,,,0.00
1980-10-02,0.0,0.0,,,,0.00
1980-10-03,0.0,0.0,,,,0.00
1980-10-04,0.0,0.0,,,,0.00
1980-10-05,0.0,0.0,,,,0.00
1980-10-06,0.0,0.0,,,,0.00
1980-10-07,0.0,0.0,,,,0.00
1980-10-08,0.0,0.0,,,,0.00
1980-10-09,0.0,0.0,,,,0.00
1980-10-10,0.0,0.0,,,,0.00
1980-10-11,0.0,0.0,,,,0.20
1980-10-12,0.0,0.2,,,,0.20
1980-10-13,0.0,0.4,,,,0.00
1980-10-14,0.0,0.4,,,,0.00
1980-10-15,0.0,0.4,,,,0.30
1980-10-16,0.0,0.7,,,,0.10
1980-10-17,0.0,0.8,,,,0.00
1980-10-18,0.0,0.8,,,,0.00
1980-10-19,0.0,0.8,,,,0.00
1980-10-20,0.0,0.8,,,,0.00
1980-10-21,0.0,0.8,,,,0.00
1980-10-22,0.0,0.8,,,,0.00
1980-10-23,0.0,0.8,,,,0.00
1980-10-24,0.0,0.8,,,,0.20
1980-10-25,0.0,1.0,,,,0.00
1980-10-26,0.0,1.0,,,,0.00
1980-10-27,0.0,1.0,,,,0.00
1980-10-28,0.0,1.0,,,,0.00
1980-10-29,0.0,1.0,,,,0.00
1980-10-30,0.0,1.0,,,,0.00
1980-10-31,0.0,1.0,,,,0.00
1980-11-01,0.0,1.0,,,,0.00
1980-11-02,0.0,1.0,,,,0.00
1980-11-03,0.0,1.0,,,,0.00
1980-11-04,0.0,1.0,,,,0.00
1980-11-05,0.0,1.0,,,,0.10
1980-11-06,0.0,1.1,,,,0.00
1980-11-07,0.0,1.1,,,,0.10
1980-11-08,0.0,1.2,,,,0.00
1980-11-09,0.0,1.2,,,,0.00
1980-11-10,0.0,1.2,,,,0.30
1980-11-11,0.0,1.5,,,,0.20
1980-11-12,0.0,1.7,,,,0.00
1980-11-13,0.0,1.7,,,,0.00
1980-11-14,0.0,1.7,,,,0.00
1980-11-15,0.0,1.7,,,,0.00
1980-11-16,0.0,1.7,,,,0.00
1980-11-17,0.0,1.7,,,,0.10
1980-11-18,0.0,1.8,,,,0.00
1980-11-19,0.0,1.8,,,,0.00
1980-11-20,0.0,1.8,,,,0.00
1980-11-21,0.0,1.8,,,,0.00
1980-11-22,0.0,1.8,,,,0.00
1980-11-23,0.0,1.8,,,,0.00
1980-11-24,0.0,1.8,,,,0.00
1980-11-25,0.0,1.8,,,,0.10
1980-11-26,0.1,1.9,,,,0.00
1980-11-27,0.1,1.9,,,,0.00
1980-11-28,0.1,1.9,,,,0.00
1980-11-29,0.1,1.9,,,,0.00
1980-11-30,0.1,1.9,,,,0.10
1980-12-01,0.2,2.0,,,,0.00
1980-12-02,0.2,2.0,,,,0.10
1980-12-03,0.1,2.1,,,,2.40
1980-12-04,0.0,4.5,,,,0.20
1980-12-05,0.0,4.7,,,,0.00
1980-12-06,0.0,4.7,,,,0.00
1980-12-07,0.0,4.7,,,,0.00
1980-12-08,0.0,4.7,,,,0.00
1980-12-09,0.0,4.7,,,,0.00
1980-12-10,0.0,4.7,,,,0.00
1980-12-11,0.0,4.7,,,,0.00
1980-12-12,0.0,4.7,,,,0.00
1980-12-13,0.0,4.7,,,,0.10
1980-12-14,0.0,4.8,,,,0.20
1980-12-15,0.0,5.0,,,,0.00
1980-12-16,0.0,5.0,,,,0.00
