# Squaw Valley G.c. (784)
# California  SNOTEL Site - 8029 ft
# Daily Data for Period of Record
#
# (As of: Sun Jun 21 08:36:15 PDT 2015)
#  **Provisional data, subject to revision**
#
Date,Snow Water Equivalent (in),Precipitation Accumulation (in),Air Temperature Maximum (degF),Air Temperature Minimum (degF),Air Temperature Average (degF),Precipitation Increment (in)
1980-08-05,0.0,84.3,,,,0.00
1980-08-06,0.0,84.3,,,,0.00
1980-08-07,0.0,84.3,,,,0.00
1980-08-08,0.0,84.3,,,,
1980-08-09,,,,,,
1980-08-10,,,,,,
1980-08-11,0.2,84.3,,,,0.00
1980-08-12,0.2,84.3,,,,0.00
1980-08-13,0.0,84.3,,,,0.00
1980-08-14,0.1,84.3,,,,0.00
1980-08-15,0.0,84.3,,,,0.00
1980-08-16,0.0,84.3,,,,0.00
1980-08-17,0.1,84.3,,,,0.00
1980-08-18,0.2,84.3,,,,0.00
1980-08-19,0.0,84.3,,,,0.00
1980-08-20,0.0,84.3,,,,0.00
1980-08-21,0.0,84.3,,,,0.00
1980-08-22,0.0,84.3,,,,0.00
1980-08-23,0.0,84.3,,,,
1980-08-24,,,,,,
1980-08-25,0.0,84.3,,,,0.00
1980-08-26,0.2,84.3,,,,0.00
1980-08-27,0.0,84.3,,,,0.00
1980-08-28,0.1,84.3,,,,0.00
1980-08-29,0.1,84.3,,,,0.00
1980-08-30,0.0,84.3,,,,0.00
1980-08-31,0.0,84.3,,,,0.00
1980-09-01,0.0,84.3,,,,0.00
1980-09-02,0.3,84.3,,,,
1980-09-03,0.3,83.7,,,,
1980-09-04,0.3,,,,,
1980-09-05,0.3,84.2,,,,0.10
1980-09-06,0.3,84.3,,,,
1980-09-07,0.1,84.2,,,,0.00
1980-09-08,0.0,84.2,,,,0.10
1980-09-09,0.1,84.3,,,,
1980-09-10,0.3,,,,,
1980-09-11,0.3,84.0,,,,0.00
1980-09-12,0.0,84.0,,,,
1980-09-13,0.0,83.8,,,,0.20
1980-09-14,0.0,84.0,,,,0.80
1980-09-15,0.0,84.8,,,,
1980-09-16,0.0,84.0,,,,0.50
1980-09-17,0.2,84.5,,,,
1980-09-18,0.0,84.3,,,,
1980-09-19,0.0,84.1,,,,0.70
1980-09-20,0.0,84.8,,,,
