# Truckee #2 (834)
# California  SNOTEL Site - 6509 ft
# Daily Data for Period of Record
#
# (As of: Sun Jun 21 08:36:44 PDT 2015)
#  **Provisional data, subject to revision**
#
Date,Snow Water Equivalent (in),Precipitation Accumulation (in),Air Temperature Maximum (degF),Air Temperature Minimum (degF),Air Temperature Average (degF),Precipitation Increment (in)
1980-06-03,0.0,41.6,,,,0.00
1980-06-04,0.0,41.6,,,,0.20
1980-06-05,0.0,41.8,,,,0.00
1980-06-06,0.0,41.8,,,,0.00
1980-06-07,0.0,41.8,,,,0.00
1980-06-08,0.4,41.8,,,,0.00
1980-06-09,0.5,41.8,,,,0.00
1980-06-10,0.6,41.8,,,,0.00
1980-06-11,0.5,41.8,,,,0.10
1980-06-12,0.5,41.9,,,,0.00
1980-06-13,0.0,41.9,,,,0.00
1980-06-14,0.2,41.9,,,,0.00
1980-06-15,0.0,41.9,,,,0.00
1980-06-16,1.0,41.9,,,,0.00
1980-06-17,1.0,41.9,,,,0.00
1980-06-18,0.9,41.9,,,,0.00
1980-06-19,0.6,41.9,,,,0.00
1980-06-20,0.7,41.9,,,,0.00
1980-06-21,0.2,41.9,,,,0.00
1980-06-22,0.1,41.9,,,,0.00
1980-06-23,1.3,41.9,,,,
1980-06-24,,,,,,
1980-06-25,0.9,41.9,,,,0.00
1980-06-26,0.0,41.9,,,,0.00
1980-06-27,0.0,41.9,,,,0.00
1980-06-28,,41.9,,,,0.00
1980-06-29,2.3,41.9,,,,0.00
1980-06-30,2.2,41.9,,,,0.00
1980-07-01,1.1,41.9,,,,0.00
1980-07-02,0.9,41.9,,,,0.20
1980-07-03,0.0,42.1,,,,0.00
1980-07-04,0.2,42.1,,,,0.00
1980-07-05,0.0,42.1,,,,0.00
1980-07-06,0.2,42.1,,,,0.00
1980-07-07,1.1,42.1,,,,0.00
1980-07-08,0.5,42.1,,,,0.00
1980-07-09,0.2,42.1,,,,0.00
1980-07-10,0.0,42.1,,,,0.00
1980-07-11,0.4,42.1,,,,0.00
1980-07-12,0.8,42.1,,,,0.00
1980-07-13,0.4,42.1,,,,0.00
1980-07-14,0.2,42.1,,,,0.00
1980-07-15,0.1,42.1,,,,0.00
1980-07-16,0.8,42.1,,,,0.00
1980-07-17,1.0,42.1,,,,0.00
1980-07-18,0.9,42.1,,,,0.00
1980-07-19,0.2,42.1,,,,0.00
1980-07-20,1.5,42.1,,,,0.00
1980-07-21,1.9,42.1,,,,0.00
1980-07-22,1.6,42.1,,,,0.00
1980-07-23,1.1,42.1,,,,0.00
1980-07-24,1.2,42.1,,,,0.00
1980-07-25,0.4,42.1,,,,0.00
1980-07-26,1.1,42.1,,,,0.00
1980-07-27,1.6,42.1,,,,0.00
1980-07-28,2.6,42.1,,,,0.00
1980-07-29,,42.1,,,,0.00
1980-07-30,1.0,42.1,,,,0.00
1980-07-31,1.5,42.1,,,,0.00
1980-08-01,0.0,42.1,,,,0.00
1980-08-02,0.0,42.1,,,,0.00
1980-08-03,0.5,42.1,,,,0.00
1980-08-04,0.4,42.1,,,,0.00
1980-08-05,0.6,42.1,,,,0.00
1980-08-06,,42.1,,,,0.00
1980-08-07,0.2,42.1,,,,0.00
1980-08-08,0.3,42.1,,,,
1980-08-09,,,,,,
1980-08-10,,42.1,,,,0.00
1980-08-11,0.6,42.1,,,,0.00
1980-08-12,0.8,42.1,,,,0.00
1980-08-13,0.0,42.1,,,,0.00
1980-08-14,0.0,42.1,,,,0.00
1980-08-15,0.0,42.1,,,,0.00
1980-08-16,0.0,42.1,,,,0.00
1980-08-17,0.3,42.1,,,,0.00
