date,station_301,station_356,station_391,station_428,station_446,station_462,station_463,station_473,station_508,station_518,station_539,station_540,station_541,station_574,station_575,station_587,station_633,station_697,station_724,station_771,station_778,station_784,station_809,station_834,station_846,station_848,station_977,station_1049,station_1050,station_1051,station_1052,station_1067,station_1258
1978-10-01,,,,,,,,,,,,,,,,32,,,,,,,,,32,,,,,,,32,
1978-10-02,,,,,,,,,,,,,,,,32,,,,,,,,,32,,,,,,,32,
1978-10-03,,,,,,,,,,,,,,,,32,,,,,,,,,32,,,,,,,32,
1978-10-04,,,,,,,,,,,,,,,,32,,,,,,,,,32,,,,,,,32,
1978-10-05,,,,,,,,,,,,,,,,32,,,,,,,,,32,,,,,,,32,
1978-10-06,,,,,,,,,,,,,,,,32,,,,,,,,,32,,,,,,,32,
1978-10-07,,,,,,,,,,,,,,,,32,,,,,,,,,32,,,,,,,32,
1978-10-08,,,,,,,,,,,,,,,,32,,,,,,,,,32,,,,,,,32,
1978-10-09,,,,,,,,,,,,,,,,32,,,,,,,,,32,,,,,,,32,
1978-10-10,,,,,,,,,,,,,,,,32,,,,,,,,,32,,,,,,,32,
1978-10-11,,,,,,,,,,,,,,,,32,,,,,,,,,32,,,,,,,32,
1978-10-12,,,,,,,,,,,,,,,,32,,,,,,,,,32,,,,,,,32,
1978-10-13,,,,,,,,,,,,,,,,32,,,,,,,,,32,,,,,,,32,
1978-10-14,,,,,,,,,,,,,,,,32,,,,,,,,,32,,,,,,,32,
1978-10-15,,,,,,,,,,,,,,,,32,,,,,,,,,32,,,,,,,32,
1978-10-16,,,,,,,,,,,,,,,,32,,,,,,,,,32,,,,,,,32,
1978-10-17,,,,,,,,,,,,,,,,32,,,,,,,,,32,,,,,,,32,
1978-10-18,,,,,,,,,,,,,,,,32,,,,,,,,,32,,,,,,,32,
1978-10-19,,,,,,,,,,,,,,,,32,,,,,,,,,32,,,,,,,32,
1978-10-20,,,,,,,,,,,,,,,,32,,,,,,,,,32,,,,,,,32,
1978-10-21,,,,,,,,,,,,,,,,32,,,,,,,,,32,,,,,,,32,
1978-10-22,,,,,,,,,,,,,,,,32,,,,,,,,,32,,,,,,,32,
1978-10-23,,,,,,,,,,,,,,,,32,,,,,,,,,32,,,,,,,32,
1978-10-24,,,,,,,,,,,,,,,,32,,,,,,,,,32,,,,,,,32,
1978-10-25,,,,,,,,,,,,,,,,32,,,,,,,,,32,,,,,,,32,
1978-10-26,,,,,,,,,,,,,,,,32,,,,,,,,,32,,,,,,,32,
1978-10-27,,,,,,,,,,,,,,,,32,,,,,,,,,32,,,,,,,32,
1978-10-28,,,,,,,,,,,,,,,,32,,,,,,,,,32,,,,,,,32,
1978-10-29,,,,,,,,,,,,,,,,32,,,,,,,,,32,,,,,,,32,
1978-10-30,,,,,,,,,,,,,,,,32,,,,,,,,,32,,,,,,,32,
1978-10-31,,,,,,,,,,,,,,,,32,,,,,,,,,32,,,,,,,32,
1978-11-01,,,,,,,,,,,,,,,,32,,,,,,,,,32,,,,,,,32,
1978-11-02,,,,,,,,,,,,,,,,32,,,,,,,,,32,,,,,,,32,
