date,station_301,station_356,station_391,station_428,station_446,station_462,station_463,station_473,station_508,station_518,station_539,station_540,station_541,station_574,station_575,station_587,station_633,station_697,station_724,station_771,station_778,station_784,station_809,station_834,station_846,station_848,station_977,station_1049,station_1050,station_1051,station_1052,station_1067,station_1258
1978-10-01,,,,,,,,,,,,,,,,395,,,,,,,,,32,,,,,,,32,
1978-10-02,,,,,,,,,,,,,,,,402,,,,,,,,,32,,,,,,,32,
1978-10-03,,,,,,,,,,,,,,,,408,,,,,,,,,32,,,,,,,32,
1978-10-04,,,,,,,,,,,,,,,,415,,,,,,,,,32,,,,,,,32,
1978-10-05,,,,,,,,,,,,,,,,419,,,,,,,,,32,,,,,,,32,
1978-10-06,,,,,,,,,,,,,,,,426,,,,,,,,,32,,,,,,,32,
1978-10-07,,,,,,,,,,,,,,,,435,,,,,,,,,32,,,,,,,32,
1978-10-08,,,,,,,,,,,,,,,,439,,,,,,,,,32,,,,,,,32,
1978-10-09,,,,,,,,,,,,,,,,446,,,,,,,,,32,,,,,,,32,
1978-10-10,,,,,,,,,,,,,,,,456,,,,,,,,,32,,,,,,,32,
1978-10-11,,,,,,,,,,,,,,,,462,,,,,,,,,32,,,,,,,32,
1978-10-12,,,,,,,,,,,,,,,,469,,,,,,,,,32,,,,,,,32,
1978-10-13,,,,,,,,,,,,,,,,477,,,,,,,,,32,,,,,,,32,
1978-10-14,,,,,,,,,,,,,,,,495,,,,,,,,,32,,,,,,,32,
1978-10-15,,,,,,,,,,,,,,,,535,,,,,,,,,32,,,,,,,32,
1978-10-16,,,,,,,,,,,,,,,,543,,,,,,,,,32,,,,,,,32,
1978-10-17,,,,,,,,,,,,,,,,561,,,,,,,,,32,,,,,,,32,
1978-10-18,,,,,,,,,,,,,,,,581,,,,,,,,,32,,,,,,,32,
1978-10-19,,,,,,,,,,,,,,,,604,,,,,,,,,32,,,,,,,32,
1978-10-20,,,,,,,,,,,,,,,,627,,,,,,,,,32,,,,,,,32,
1978-10-21,,,,,,,,,,,,,,,,638,,,,,,,,,32,,,,,,,32,
1978-10-22,,,,,,,,,,,,,,,,657,,,,,,,,,32,,,,,,,32,
1978-10-23,,,,,,,,,,,,,,,,675,,,,,,,,,32,,,,,,,32,
1978-10-24,,,,,,,,,,,,,,,,692,,,,,,,,,32,,,,,,,32,
1978-10-25,,,,,,,,,,,,,,,,717,,,,,,,,,32,,,,,,,32,
1978-10-26,,,,,,,,,,,,,,,,732,,,,,,,,,32,,,,,,,32,
1978-10-27,,,,,,,,,,,,,,,,752,,,,,,,,,32,,,,,,,32,
1978-10-28,,,,,,,,,,,,,,,,764,,,,,,,,,32,,,,,,,32,
1978-10-29,,,,,,,,,,,,,,,,-692,,,,,,,,,32,,,,,,,32,
1978-10-30,,,,,,,,,,,,,,,,-683,,,,,,,,,32,,,,,,,32,
1978-10-31,,,,,,,,,,,,,,,,-671,,,,,,,,,32,,,,,,,32,
1978-11-01,,,,,,,,,,,,,,,,-651,,,,,,,,,32,,,,,,,32,
1978-11-02,,,,,,,,,,,,,,,,-636,,,,,,,,,32,,,,,,,32,
1978-11-03,,,,,,,,,,,,,,,,-617,,,,,,,,,32,,,,,,,32,
1978-11-04,,,,,,,,,,,,,,,,-606,,,,,,,,,32,,,,,,,32,
1978-11-05,,,,,,,,,,,,,,,,-605,,,,,,,,,32,,,,,,,32,
1978-11-06,,,,,,,,,,,,,,,,-587,,,,,,,,,32,,,,,,,32,
1978-11-07,,,,,,,,,,,,,,,,-577,,,,,,,,,32,,,,,,,32,
1978-11-08,,,,,,,,,,,,,,,,-556,,,,,,,,,32,,,,,,,32,
1978-11-09,,,,,,,,,,,,,,,,52,,,,,,,,,32,,,,,,,32,
1978-11-10,,,,,,,,,,,,,,,,64,,,,,,,,,32,,,,,,,32,
1978-11-11,,,,,,,,,,,,,,,,72,,,,,,,,,32,,,,,,,32,
1978-11-12,,,,,,,,,,,,,,,,83,,,,,,,,,32,,,,,,,32,
1978-11-13,,,,,,,,,,,,,,,,96,,,,,,,,,,,,,,,,32,
1978-11-14,,,,,,,,,,,,,,,,99,,,,,,,,,32,,,,,,,32,
1978-11-15,,,,,,,,,,,,,,,,104,,,,,,,,,32,,,,,,,32,
1978-11-16,,,,,,,,,,,,,,,,121,,,,,,,,,32,,,,,,,32,
1978-11-17,,,,,,,,,,,,,,,,139,,,,,,,,,32,,,,,,,32,
1978-11-18,,,,,,,,,,,,,,,,148,,,,,,,,,32,,,,,,,32,
1978-11-19,,,,,,,,,,,,,,,,162,,,,,,,,,32,,,,,,,32,
1978-11-20,,,,,,,,,,,,,,,,175,,,,,,,,,32,,,,,,,32,
1978-11-21,,,,,,,,,,,,,,,,180,,,,,,,,,32,,,,,,,32,
1978-11-22,,,,,,,,,,,,,,,,197,,,,,,,,,32,,,,,,,32,
1978-11-23,,,,,,,,,,,,,,,,201,,,,,,,,,,,,,,,,32,
1978-11-24,,,,,,,,,,,,,,,,206,,,,,,,,,,,,,,,,32,
1978-11-25,,,,,,,,,,,,,,,,209,,,,,,,,,,,,,,,,32,
1978-11-26,,,,,,,,,,,,,,,,213,,,,,,,,,,,,,,,,32,
1978-11-27,,,,,,,,,,,,,,,,218,,,,,,,,,,,,,,,,32,
1978-11-28,,,,,,,,,,,,,,,,224,,,,,,,,,,,,,,,,32,
1978-11-29,,,,,,,,,,,,,,,,234,,,,,,,,,,,,,,,,32,
1978-11-30,,,,,,,,,,,,,,,,242,,,,,,,,,,,,,,,,32,
1978-12-01,,,,,,,,,,,,,,,,252,,,,,,,,,32,,,,,,,32,
1978-12-02,,,,,,,,,,,,,,,,257,,,,,,,,,32,,,,,,,32,
1978-12-03,,,,,,,,,,,,,,,,261,,,,,,,,,32,,,,,,,32,
1978-12-04,,,,,,,,,,,,,,,,280,,,,,,,,,32,,,,,,,32,
1978-12-05,,,,,,,,,,,,,,,,299,,,,,,,,,32,,,,,,,32,
1978-12-06,,,,,,,,,,,,,,,,305,,,,,,,,,32,,,,,,,32,
1978-12-07,,,,,,,,,,,,,,,,311,,,,,,,,,32,,,,,,,32,
1978-12-08,,,,,,,,,,,,,,,,338,,,,,,,,,32,,,,,,,32,
1978-12-09,,,,,,,,,,,,,,,,349,,,,,,,,,32,,,,,,,32,
1978-12-10,,,,,,,,,,,,,,,,357,,,,,,,,,32,,,,,,,32,
1978-12-11,,,,,,,,,,,,,,,,373,,,,,,,,,32,,,,,,,32,
1978-12-12,,,,,,,,,,,,,,,,397,,,,,,,,,32,,,,,,,32,
1978-12-13,,,,,,,,,,,,,,,,419,,,,,,,,,32,,,,,,,32,
1978-12-14,,,,,,,,,,,,,,,,438,,,,,,,,,32,,,,,,,32,
1978-12-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1978-12-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1978-12-17,,,,,,,,,,,,,,,,473,,,,,,,,,32,,,,,,,32,
1978-12-18,,,,,,,,,,,,,,,,478,,,,,,,,,32,,,,,,,32,
1978-12-19,,,,,,,,,,,,,,,,489,,,,,,,,,32,,,,,,,32,
1978-12-20,,,,,,,,,,,,,,,,495,,,,,,,,,32,,,,,,,32,
1978-12-21,,,,,,,,,,,,,,,,500,,,,,,,,,32,,,,,,,32,
1978-12-22,,,,,,,,,,,,,,,,510,,,,,,,,,32,,,,,,,32,
1978-12-23,,,,,,,,,,,,,,,,515,,,,,,,,,32,,,,,,,32,
1978-12-24,,,,,,,,,,,,,,,,516,,,,,,,,,32,,,,,,,32,
1978-12-25,,,,,,,,,,,,,,,,518,,,,,,,,,32,,,,,,,32,
1978-12-26,,,,,,,,,,,,,,,,518,,,,,,,,,32,,,,,,,32,
1978-12-27,,,,,,,,,,,,,,,,521,,,,,,,,,32,,,,,,,32,
1978-12-28,,,,,,,,,,,,,,,,534,,,,,,,,,32,,,,,,,32,
1978-12-29,,,,,,,,,,,,,,,,546,,,,,,,,,32,,,,,,,32,
1978-12-30,,,,,,,,,,,,,,,,553,,,,,,,,,32,,,,,,,32,
1978-12-31,,,,,,,,,,,,,,,,589,,,,,,,,,32,,,,,,,32,
1979-01-01,,,,,,,,,,,,,,,,598,,,,,,,,,32,,,,,,,32,
1979-01-02,,,,,,,,,,,,,,,,607,,,,,,,,,32,,,,,,,32,
1979-01-03,,,,,,,,,,,,,,,,618,,,,,,,,,32,,,,,,,32,
1979-01-04,,,,,,,,,,,,,,,,623,,,,,,,,,32,,,,,,,32,
1979-01-05,,,,,,,,,,,,,,,,630,,,,,,,,,32,,,,,,,32,
1979-01-06,,,,,,,,,,,,,,,,645,,,,,,,,,32,,,,,,,32,
1979-01-07,,,,,,,,,,,,,,,,657,,,,,,,,,32,,,,,,,32,
1979-01-08,,,,,,,,,,,,,,,,666,,,,,,,,,32,,,,,,,32,
1979-01-09,,,,,,,,,,,,,,,,679,,,,,,,,,32,,,,,,,32,
1979-01-10,,,,,,,,,,,,,,,,685,,,,,,,,,32,,,,,,,32,
1979-01-11,,,,,,,,,,,,,,,,695,,,,,,,,,32,,,,,,,32,
1979-01-12,,,,,,,,,,,,,,,,702,,,,,,,,,32,,,,,,,32,
1979-01-13,,,,,,,,,,,,,,,,705,,,,,,,,,,,,,,,,32,
1979-01-14,,,,,,,,,,,,,,,,719,,,,,,,,,32,,,,,,,32,
1979-01-15,,,,,,,,,,,,,,,,724,,,,,,,,,32,,,,,,,32,
1979-01-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-01-17,,,,,,,,,,,,,,,,733,,,,,,,,,32,,,,,,,32,
1979-01-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-01-19,,,,,,,,,,,,,,,,744,,,,,,,,,32,,,,,,,,
1979-01-20,,,,,,,,,,,,,,,,749,,,,,,,,,32,,,,,,,,
1979-01-21,,,,,,,,,,,,,,,,758,,,,,,,,,,,,,,,,32,
1979-01-22,,,,,,,,,,,,,,,,,,,,,,,,,32,,,,,,,,
1979-01-23,,,,,,,,,,,,,,,,763,,,,,,,,,32,,,,,,,32,
1979-01-24,,,,,,,,,,,,,,,,768,,,,,,,,,32,,,,,,,32,
1979-01-25,,,,,,,,,,,,,,,,-703,,,,,,,,,32,,,,,,,32,
