date,station_301,station_356,station_391,station_428,station_446,station_462,station_463,station_473,station_508,station_518,station_539,station_540,station_541,station_574,station_575,station_587,station_633,station_697,station_724,station_771,station_778,station_784,station_809,station_834,station_846,station_848,station_977,station_1049,station_1050,station_1051,station_1052,station_1067,station_1258
1978-10-01,,,,,,,,,,,,,,,,102,,,,,,,,,32,,,,,,,32,
1978-10-02,,,,,,,,,,,,,,,,103,,,,,,,,,32,,,,,,,32,
1978-10-03,,,,,,,,,,,,,,,,104,,,,,,,,,32,,,,,,,32,
1978-10-04,,,,,,,,,,,,,,,,105,,,,,,,,,32,,,,,,,32,
1978-10-05,,,,,,,,,,,,,,,,106,,,,,,,,,32,,,,,,,32,
1978-10-06,,,,,,,,,,,,,,,,107,,,,,,,,,32,,,,,,,32,
1978-10-07,,,,,,,,,,,,,,,,109,,,,,,,,,32,,,,,,,32,
1978-10-08,,,,,,,,,,,,,,,,110,,,,,,,,,32,,,,,,,32,
1978-10-09,,,,,,,,,,,,,,,,112,,,,,,,,,32,,,,,,,32,
1978-10-10,,,,,,,,,,,,,,,,114,,,,,,,,,32,,,,,,,32,
1978-10-11,,,,,,,,,,,,,,,,115,,,,,,,,,32,,,,,,,32,
1978-10-12,,,,,,,,,,,,,,,,116,,,,,,,,,32,,,,,,,32,
1978-10-13,,,,,,,,,,,,,,,,117,,,,,,,,,32,,,,,,,32,
1978-10-14,,,,,,,,,,,,,,,,122,,,,,,,,,32,,,,,,,32,
1978-10-15,,,,,,,,,,,,,,,,128,,,,,,,,,32,,,,,,,32,
1978-10-16,,,,,,,,,,,,,,,,130,,,,,,,,,32,,,,,,,32,
1978-10-17,,,,,,,,,,,,,,,,131,,,,,,,,,32,,,,,,,32,
1978-10-18,,,,,,,,,,,,,,,,132,,,,,,,,,32,,,,,,,32,
1978-10-19,,,,,,,,,,,,,,,,134,,,,,,,,,32,,,,,,,32,
1978-10-20,,,,,,,,,,,,,,,,137,,,,,,,,,32,,,,,,,32,
1978-10-21,,,,,,,,,,,,,,,,137,,,,,,,,,32,,,,,,,32,
1978-10-22,,,,,,,,,,,,,,,,139,,,,,,,,,32,,,,,,,32,
1978-10-23,,,,,,,,,,,,,,,,141,,,,,,,,,32,,,,,,,32,
1978-10-24,,,,,,,,,,,,,,,,142,,,,,,,,,32,,,,,,,32,
1978-10-25,,,,,,,,,,,,,,,,144,,,,,,,,,32,,,,,,,32,
1978-10-26,,,,,,,,,,,,,,,,145,,,,,,,,,32,,,,,,,32,
1978-10-27,,,,,,,,,,,,,,,,146,,,,,,,,,32,,,,,,,32,
1978-10-28,,,,,,,,,,,,,,,,147,,,,,,,,,32,,,,,,,32,
1978-10-29,,,,,,,,,,,,,,,,147,,,,,,,,,32,,,,,,,32,
1978-10-30,,,,,,,,,,,,,,,,149,,,,,,,,,32,,,,,,,32,
1978-10-31,,,,,,,,,,,,,,,,150,,,,,,,,,32,,,,,,,32,
1978-11-01,,,,,,,,,,,,,,,,151,,,,,,,,,32,,,,,,,32,
1978-11-02,,,,,,,,,,,,,,,,151,,,,,,,,,32,,,,,,,32,
1978-11-03,,,,,,,,,,,,,,,,152,,,,,,,,,32,,,,,,,32,
1978-11-04,,,,,,,,,,,,,,,,152,,,,,,,,,32,,,,,,,32,
1978-11-05,,,,,,,,,,,,,,,,153,,,,,,,,,32,,,,,,,32,
1978-11-06,,,,,,,,,,,,,,,,154,,,,,,,,,32,,,,,,,32,
1978-11-07,,,,,,,,,,,,,,,,155,,,,,,,,,32,,,,,,,32,
1978-11-08,,,,,,,,,,,,,,,,155,,,,,,,,,32,,,,,,,32,
1978-11-09,,,,,,,,,,,,,,,,157,,,,,,,,,32,,,,,,,32,
1978-11-10,,,,,,,,,,,,,,,,158,,,,,,,,,32,,,,,,,32,
1978-11-11,,,,,,,,,,,,,,,,160,,,,,,,,,32,,,,,,,32,
1978-11-12,,,,,,,,,,,,,,,,161,,,,,,,,,32,,,,,,,32,
1978-11-13,,,,,,,,,,,,,,,,162,,,,,,,,,,,,,,,,32,
1978-11-14,,,,,,,,,,,,,,,,162,,,,,,,,,32,,,,,,,32,
1978-11-15,,,,,,,,,,,,,,,,163,,,,,,,,,32,,,,,,,32,
1978-11-16,,,,,,,,,,,,,,,,165,,,,,,,,,32,,,,,,,32,
1978-11-17,,,,,,,,,,,,,,,,167,,,,,,,,,32,,,,,,,32,
1978-11-18,,,,,,,,,,,,,,,,168,,,,,,,,,32,,,,,,,32,
1978-11-19,,,,,,,,,,,,,,,,169,,,,,,,,,32,,,,,,,32,
1978-11-20,,,,,,,,,,,,,,,,171,,,,,,,,,32,,,,,,,32,
1978-11-21,,,,,,,,,,,,,,,,171,,,,,,,,,32,,,,,,,32,
1978-11-22,,,,,,,,,,,,,,,,173,,,,,,,,,32,,,,,,,32,
